855idoc,selection,fixed,constant,1,40,30,,ORDERS05,,1
855idoc,selection,fixed,constant,1,130,3,,855,,1
855idoc,data,regex,variable,0,239,15,^ZE1EDK.*,,TPID,1
855idoc,data,fixed,constant,0,0,0,,855,DOCTYPE,1
850idoc,selection,fixed,constant,1,40,30,,ORDERS05,,1
850idoc,selection,fixed,constant,1,264,3,,EDI,,1
850idoc,data,regex,variable,0,276,15,^E2EDK01.*,,tpid,1
850idoc,data,fixed,constant,0,0,0,,850,DOCTYPE,1
810idoc,selection,fixed,constant,1,40,30,,INVOIC02,,1
810idoc,selection,fixed,constant,1,130,3,,810,,1
810idoc,data,regex,variable,0,439,15,^ZE1EDK810.*,,tpid,1
810idoc,data,fixed,constant,0,0,0,,810,DOCTYPE,1
856idoc,selection,fixed,constant,1,40,30,,SHPMNT05,,1
856idoc,selection,fixed,constant,1,130,3,,856,,1
856idoc,data,regex,variable,0,130,15,^ZELEDL20.*,,tpid,1
856idoc,data,fixed,constant,0,0,0,,856,DOCTYPE,1
