855idoc,selection,fixed,constant,1,40,30,,ORDERS05,,,1
855idoc,selection,fixed,constant,1,130,3,,855,,,1
855idoc,data,regex,variable,0,239,15,^ZE1EDK.*,,receiverid,,1
855idoc,data,fixed,constant,0,0,0,,BLUESEER,senderid,,1
850idoc,selection,fixed,constant,1,40,30,,ORDERS05,,,1
850idoc,selection,fixed,constant,1,264,3,,EDI,,,1
850idoc,data,fixed,variable,1,162,10,,,receiverid,,1
850idoc,data,fixed,constant,0,0,0,,BLUESEER,senderid,,1
810idoc,selection,fixed,constant,1,40,30,,INVOIC02,,,1
810idoc,selection,fixed,constant,1,130,3,,810,,,1
810idoc,data,regex,variable,0,439,15,^ZE1EDK810.*,,receiverid,,1
810idoc,data,fixed,constant,0,0,0,,BLUESEER,senderid,,1
856idoc,selection,fixed,constant,1,40,30,,SHPMNT05,,,1
856idoc,selection,fixed,constant,1,130,3,,856,,,1
856idoc,data,regex,variable,0,130,15,^ZELEDL20.*,,receiverid,,1
856idoc,data,fixed,constant,0,0,0,,BLUESEER,senderid,,1
850csv,selection,delimited,constant,1,1,10,,PONumberLM,,,1
850csv,data,delimited,variable,2,2,50,,,senderid,,1
850csv,data,fixed,constant,0,0,8,,BLUESEER,receiverid,,1
850d365,selection,delimited,constant,1,1,10,,OrderNumberD365,,,1
850d365,data,delimited,variable,2,3,50,,,senderid,,1
850d365,data,fixed,constant,0,0,8,,BLUESEER,receiverid,,1
810csv,selection,delimited,constant,1,1,10,,InvoiceNumber,,,1
810csv,data,delimited,variable,2,2,50,,,senderid,,1
810csv,data,fixed,constant,0,0,8,,BLUESEER,receiverid,,1
856csv,selection,delimited,constant,1,1,10,,ShipperNumber,,,1
856csv,data,delimited,variable,2,2,50,,,senderid,,1
856csv,data,fixed,constant,0,0,8,,BLUESEER,receiverid,,1
855csv,selection,delimited,constant,1,1,10,,OrderNumber,,,1
855csv,data,delimited,variable,2,2,50,,,senderid,,1
855csv,data,fixed,constant,0,0,8,,BLUESEER,receiverid,,1
850json,selection,json,constant,0,0,0,,bs-json,,/order/doctype,1
850json,data,json,variable,0,0,0,,,senderid,/order/senderid,1
850json,data,json,variable,0,0,0,,,receiverid,/order/receiverid,1
850xml,selection,xml,constant,0,0,0,,bs-xml,,/order/header/doctype,1
850xml,selection,xml,constant,0,0,0,,edi,,/order/header/@type,1
850xml,data,xml,variable,0,0,0,,,senderid,/order/header/senderid,1
850xml,data,xml,variable,0,0,0,,,receiverid,/order/header/receiverid,1
