ACDT,Australian Central Daylight Saving Time,UTC+10:30
ACST,Australian Central Standard Time,UTC+09:30
ACT,Acre Time,UTC-05
ACT,ASEAN Common Time (proposed),UTC+08:00
ACWST,Australian Central Western Standard Time (unofficial),UTC+08:45
ADT,Atlantic Daylight Time,UTC-03
AEDT,Australian Eastern Daylight Saving Time,UTC+11
AEST,Australian Eastern Standard Time,UTC+10
AET (AEST/AEDT),Australian Eastern Time,UTC+10 / UTC+11
AFT,Afghanistan Time,UTC+04:30
AKDT,Alaska Daylight Time,UTC-08
AKST,Alaska Standard Time,UTC-09
ALMT,Alma-Ata Time[1],UTC+06
AMST,Amazon Summer Time (Brazil)[2],UTC-03
AMT,Amazon Time (Brazil)[3],UTC-04
AMT,Armenia Time,UTC+04
ANAT,Anadyr Time[4],UTC+12
AQTT,Aqtobe Time[5],UTC+05
ART,Argentina Time,UTC-03
AST,Arabia Standard Time,UTC+03
AST,Atlantic Standard Time,UTC-04
AWST,Australian Western Standard Time,UTC+08
AZOST,Azores Summer Time,UTC±00
AZOT,Azores Standard Time,UTC-01
AZT,Azerbaijan Time,UTC+04
BNT,Brunei Time,UTC+08
BIOT,British Indian Ocean Time,UTC+06
BIT,Baker Island Time,UTC-12
BOT,Bolivia Time,UTC-04
BRST,Brasília Summer Time,UTC-02
BRT,Brasília Time,UTC-03
BST,Bangladesh Standard Time,UTC+06
BST,Bougainville Standard Time[6],UTC+11
BST,British Summer Time (British Standard Time from Mar 1968 to Oct 1971),UTC+01
BTT,Bhutan Time,UTC+06
CAT,Central Africa Time,UTC+02
CCT,Cocos Islands Time,UTC+06:30
CDT,Central Daylight Time (North America),UTC-05
CDT,Cuba Daylight Time[7],UTC-04
CEST,Central European Summer Time,UTC+02
CET,Central European Time,UTC+01
CHADT,Chatham Daylight Time,UTC+13:45
CHAST,Chatham Standard Time,UTC+12:45
CHOT,Choibalsan Standard Time,UTC+08
CHOST,Choibalsan Summer Time,UTC+09
CHST,Chamorro Standard Time,UTC+10
CHUT,Chuuk Time,UTC+10
CIST,Clipperton Island Standard Time,UTC-08
CKT,Cook Island Time,UTC-10
CLST,Chile Summer Time,UTC-03
CLT,Chile Standard Time,UTC-04
COST,Colombia Summer Time,UTC-04
COT,Colombia Time,UTC-05
CST,Central Standard Time (North America),UTC-06
CST,China Standard Time,UTC+08
CST,Cuba Standard Time,UTC-05
CT (CST/CDT),Central Time,UTC-06 / UTC-05
CVT,Cape Verde Time,UTC-01
CWST,Central Western Standard Time (Australia) unofficial,UTC+08:45
CXT,Christmas Island Time,UTC+07
DAVT,Davis Time,UTC+07
DDUT,Dumont d'Urville Time,UTC+10
DFT,AIX-specific equivalent of Central European Time[NB 1],UTC+01
