ALL,Albania Lek
AFN,Afganistán Afganistán
ARS,Peso argentino
AWG,Florín de Aruba
AUD,dólar australiano
AZN,Azerbaiyán Manat
BSD,Dólar de las Bahamas
BBD,Dólar de Barbados
BYN,Bielorrusia Rublo
BZD,dólar de Belice
BMD,dólar de las Bermudas
BOB,Bolivia Bolíviano
BAM,marco convertible de Bosnia y Herzegovina
BWP,Botswana Pula
BGN,Bulgaria Lev
BRL,Real brasileño
BND,dólar de Brunei Darussalam
KHR,Camboya Riel
CAD,Dólar canadiense
KYD,Dólar de las Islas Caimán
CLP,Peso Chileno
CNY,Yuan renminbi de China
COP,Peso colombiano
CRC,Costa Rica Colón
HRK,Croacia Kuna
CUP,Peso cubano
CZK,República Checa Corona
DKK,Corona de Dinamarca
DOP,República Dominicana Peso
XCD,dólar del Caribe Oriental
EGP,Libra egipcia
SVC,El Salvador Colón
EUR,países miembros de la zona euro
FKP,Libra de las Islas Malvinas
FJD,dólar de Fiji
GHS,Ghana Cedi
GIP,Libra de Gibraltar
GTQ,Quetzal de Guatemala
GGP,Libra de Guernsey
GYD,Dólar de Guyana
HNL,Honduras Lempira
HKD,dólar de Hong Kong
HUF,Florín de Hungría
ISK,Corona islandesa
INR,Rupia india
IDR,rupia indonesia
IRR,Rial iraní
IMP,Libra de la Isla de Man
ILS,Israel Shekel
JMD,dólar jamaiquino
JPY,Yen japonés
JEP,Libra de Jersey
KZT,Kazajstán Tenge
KPW,Corea (del Norte) Won
KRW,Corea (Sur) Won
KGS,Kirguistán Som
LAK,Laos Kip
LBP,Libra libanesa
LRD,Dólar de Liberia
MKD,Macedonia Denar
MYR,Ringgit de Malasia
MUR,rupia mauriciana
MXN,Peso mexicano
MNT,Mongolia Tughrik
MZN,Mozambique Metical
NAD,dólar de Namibia
NPR,rupia nepalí
ANG,Florín de las Antillas Holandesas
NZD,dólar neozelandés
NIO,Nicaragua Córdoba
NGN,Nigeria Naira
NOK,Corona noruega
OMR,Rial de Omán
PKR,rupia pakistaní
PAB,Panamá Balboa
PYG,Paraguay Guaraní
PEN,Perú Sol
PHP,Peso filipino
PLN,Polonia Zloty
QAR,Riyal de Qatar
RON,Rumanía Leu
RUB,Rusia Rublo
SHP,Libra de Santa Helena
SAR,Arabia Saudita Riyal
RSD,Dinar de Serbia
SCR,Rupia de Seychelles
SGD,dólar de Singapur
SBD,Dólar de las Islas Salomón
SOS,Chelín de Somalia
ZAR,Sudáfrica Rand
LKR,rupia de Sri Lanka
SEK,Suecia Corona
CHF,Franco de Suiza
SRD,dólar de Surinam
SYP,Libra siria
TWD,nuevo dólar taiwanés
THB,Baht de Tailandia
TTD,dólar de Trinidad y Tobago
TRY,Turquía Lira
TVD,dólar de Tuvalu
UAH,Ucrania Hryvnia
GBP,libra del Reino Unido
USD,dólar estadounidense
UYU,Peso uruguayo
UZS,Uzbekistán Som
VEF,Venezuela Bolívar
VND,Dong de Vietnam
YER,Yemen Rial
ZWD,Dólar de Zimbabwe
