855idoc,selection,fixed,constant,1,40,30,,ORDERS05,,1
855idoc,selection,fixed,constant,1,130,3,,855,,1
855idoc,data,regex,variable,0,239,15,^ZE1EDK.*,,rcvid,1
855idoc,data,fixed,constant,0,0,0,,855,DOCTYPE,1
855idoc,data,fixed,constant,0,0,0,,BLUESEER,sndid,1
850idoc,selection,fixed,constant,1,40,30,,ORDERS05,,1
850idoc,selection,fixed,constant,1,264,3,,EDI,,1
850idoc,data,regex,variable,0,276,15,^E2EDK01.*,,rcvid,1
850idoc,data,fixed,constant,0,0,0,,850,DOCTYPE,1
850idoc,data,fixed,constant,0,0,0,,BLUESEER,sndid,1
810idoc,selection,fixed,constant,1,40,30,,INVOIC02,,1
810idoc,selection,fixed,constant,1,130,3,,810,,1
810idoc,data,regex,variable,0,439,15,^ZE1EDK810.*,,rcvid,1
810idoc,data,fixed,constant,0,0,0,,810,DOCTYPE,1
810idoc,data,fixed,constant,0,0,0,,BLUESEER,sndid,1
856idoc,selection,fixed,constant,1,40,30,,SHPMNT05,,1
856idoc,selection,fixed,constant,1,130,3,,856,,1
856idoc,data,regex,variable,0,130,15,^ZELEDL20.*,,rcvid,1
856idoc,data,fixed,constant,0,0,0,,856,DOCTYPE,1
856idoc,data,fixed,constant,0,0,0,,BLUESEER,sndid,1
850csv,selection,delimited,constant,1,1,44,,PONumberLM,,1
850csv,data,delimited,variable,2,2,44,,,sndid,1
850csv,data,fixed,constant,0,0,0,,850csv,DOCTYPE,1
850csv,data,fixed,constant,0,0,0,,BLUESEER,rcvid,1
