ALL,Albanie Lek
APN,Afghanistan Afghani
ARS,Peso argentin
AWG,florin d'Aruba
AUD,Dollar australien
AZN,Azerbaïdjan Manat
BSD,dollar des Bahamas
BBD,Dollar de la Barbade
BYN,rouble biélorusse
BZD,Belize Dollar
BMD,Dollar des Bermudes
BOB,Bolivie Bolíviano
BAM,Bosnie-Herzégovine Mark convertible
BWP,Boswana Pula
BGN,Bulgarie Lev
BRL,Brésil Réel
BND,Darussalam du Brunéi
KHR,Riel du Cambodge
CAD,dollar canadien
KYD,dollar des îles Caïmans
CLP,Peso chilien
CNY,Yuan Renminbi de Chine
COP,Peso colombien
CRC,Colon du Costa Rica
HRK,Croatie Kuna
TASSE,Cuba Peso
CZK,République tchèque Couronne
DKK,couronne danoise
DOP,République dominicaine Peso
XCD,dollar des Caraïbes orientales
EGP,livre égyptienne
SVC,El Salvador Colon
EUR,pays membres de l'euro
FKP,Îles Falkland (Malvinas) Livre
FJD,Dollar fidjien
GHS,Cédi ghanéen
GIP,livre de Gibraltar
GTQ,Guatemala Quetzal
GGP,livre de Guernesey
GYD,dollar guyanais
HNL,Honduras Lempira
HKD,Dollar de Hong Kong
HUF,Forint hongrois
ISK,couronne islandaise
INR,roupie indienne
IDR,Indonésie Rupiah
IRR,rial iranien
IMP,Île de Man Pound
ILS,Israël Shekel
JMD,Dollar jamaïcain
JPY,yen japonais
JEP,Jersey Pound
KZT,Kazakhstan Tenge
KPW,Corée (du Nord) Gagné
KRW,Corée (Sud) Gagné
KGS,Kirghizistan Som
LAK,Laos Kip
LBP,livre libanaise
LRD,dollar libérien
MKD,Macédoine Denar
MYR,Ringgit de Malaisie
MUR,roupie mauricienne
MXN,Peso mexicain
MNT,Mongolie Tughrik
MZN,Mozambique Metical
NAD,Dollar namibien
NPR,roupie népalaise
ANG,Florin des Antilles néerlandaises
NZD,Dollar néo-zélandais
NIO,Nicaragua Cordoue
NGN,Nigeria Naira
NOK,couronne norvégienne
OMR,rial omanais
PKR,roupie pakistanaise
PAB,Panama Balboa
PYG,Paraguay Guarani
PEN,Pérou Sol
PHP,Peso philippin
PLN,Pologne Zloty
QAR,riyal du Qatar
RON,Roumanie Leu
RUB,rouble russe
SHP,livre de Sainte-Hélène
SAR,riyal d'Arabie saoudite
RSD,dinar serbe
SCR,roupie des Seychelles
SGD,dollar de Singapour
SBD,Dollar des îles Salomon
SOS,Shilling somalien
ZAR,Rand d'Afrique du Sud
LKR,Roupie de Sri Lanka
SEK,couronne suédoise
CHF,Franc suisse
SRD,Dollar du Surinam
SYP,livre syrienne
TWD,Nouveau dollar de Taïwan
THB,baht thaïlandais
TTD,Trinité-et-Tobago Dollar
ESSAYER,lire turque
TVD,Dollar de Tuvalu
UAH,Ukraine Hryvnia
GBP,livre du Royaume-Uni
USD,Dollar des États-Unis
UYU,Peso uruguayen
UZS,Ouzbékistan Som
VEF,Venezuela Bolivar
VND,Vietnam Dong
YER,rial du Yémen
ZWD,dollar zimbabwéen
