CusRptGroup,Informations sur l'adresse client par ID,custAddrInfoByRange,0,L6
CusRptGroup,Téléphone du client Courriel par ID,custPhoneEmailByRange,1,P4
CusRptGroup,Configuration du financement client par ID,custFinanceInfoByRange,2,L8
CusRptGroup,Liste d'expédition des clients Par client,custShipTosByRange,3,L8
CusRptGroup,Ventes totales du client par gamme,custTotalSalesByRange,4,P5C
CusRptGroup,Article client Xréf Par client,custXrefByRange,5,L8
OrdRptGroup,Commandes par plage de dates d'échéance,ordersDueDateByRange,0,L8C
OrdRptGroup,Commandes par plage de dates de commande,ordersOrdDateByRange,1,L8C
OrdRptGroup,Commandes par client/plage de dates,ordersCustDateByRange,2,L8C
OrdRptGroup,Commandes ouvertes par client,ordersOpenByCust,3,L8C
OrdRptGroup,Détail des commandes ouvertes par client,ordersOpenDetailByCust,4,L8
OrdRptGroup,Commandes en attente par client,ordersOnHoldByCust,5,L8C
OrdRptGroup,Commander des envois par achat ordre,ordersShippedDetailByPO,6,L8
InvRptGroup,Informations sur l'article par plage d'articles,iteminfoByItemRange,0,L2
InvRptGroup,Informations sur l'article par gamme ProdLine,itemByProdLineRange,1,L2
InvRptGroup,Coûts des articles par plage d'articles,itemCostsRange,2,L8
InvRptGroup,Prix ??de vente de l'article par article,itemCustPriceRange,3,L8
InvRptGroup,Article Inventaire par article,itemInventoryRange,4,L7
InvRptGroup,Article QOH par article,itemQOHRange,5,L6
InvRptGroup,Ordre des allocations par article,itemAllocatedToOrder,6,L7
VenRptGroup,Maître du fournisseur par code de vente,vendAddrInfoByRange,0,L8
VenRptGroup,Coordonnées du fournisseur par code,vendPhoneEmailByRange,1,L8
VenRptGroup,Informations sur le financement du fournisseur par code,vendFinanceInfoByRange,2,L8
VenRptGroup,Total des achats du fournisseur par code/date,vendTotalPurchasesByRange,3,L8
PurRptGroup,Bons de commande par date de bon de commande,poByOrdDateRange,0,L8
PurRptGroup,Bons de commande par fournisseur,poByVendRange,1,L8
PurRptGroup,Bons de commande par date de vente / bon de commande,poByVendOrdDateRange,2,L8
PurRptGroup,Bons de commande par bon de commande Détail par vente,poDetailByVendRange,3,L8
ARRptGroup,Entrées AR par client,AREntriesByCust,0,L2
ARRptGroup,Vieillissement AR par client,ARAgingByCust,1,L7
ARRptGroup,Détail du vieillissement AR par client,ARAgingDetailByCust,2,L2
ARRptGroup,Paiements AR par date client,ARPaymentsByCustDate,3,L8
APRptGroup,Entrées AP par APNbr,apByNbrRange,0,L11
APRptGroup,Entrées AP par fournisseur,apByVendorRange,1,L11
APRptGroup,Rapport de dépenses par fournisseur/date,expenseByVendorDate,2,L11
HRRptGroup,Rapport des employés par EmpNbr,employeeByEmpNbr,0,L8
ShpRptGroup,Expéditeurs par plage de dates d'expédition,shippersByShipDateRange,0,L11
ShpRptGroup,Expéditeurs par plage de numéros,shippersByShipNbrRange,1,L11
ShpRptGroup,Expéditeurs par plage de dates client,shippersByCustDateRange,2,L11
ShpRptGroup,Détails de l'expéditeur par date du client,shipperDetailByCustDateRange,3,L8
ShpRptGroup,Détails de l'expéditeur par achat ordre,shipperDetailByPO,4,L8
SchRptGroup,Planifier les commandes par article,planOrdersByItem,0,L11
SchRptGroup,Planifier les commandes par commande client,planOrdersBySalesOrder,1,L11
