ORDERS,ORDERS,UNE,850une
DESADV,DESADV,UNE,856une
INVOIC,INVOIC,UNE,810une
ORDRSP,ORDRSP,UNE,855une
CONTRL,CONTRL,UNE,997une
850,PO,X12,850x12
856,SH,X12,856x12
810,IN,X12,810x12
940,OW,X12,940x12
943,AR,X12,943x12
990,GF,X12,990x12
870,RS,X12,870x12
862,SS,X12,862x12
830,PS,X12,830x12
832,SC,X12,832x12
824,AG,X12,824x12
864,TX,X12,864x12
812,CD,X12,812x12
820,RA,X12,820x12
837,HC,X12,837x12
846,IB,X12,846x12
852,PD,X12,852x12
855,PR,X12,855x12
860,PC,X12,860x12
861,RC,X12,861x12
865,CA,X12,865x12
866,SQ,X12,866x12
204,SM,X12,204x12
210,IM,X12,210x12
214,QM,X12,214x12
997,FA,X12,997x12
944,RE,X12,944x12
270,HS,X12,270x12
271,HB,X12,271x12
272,LN,X12,272x12
273,ID,X12,273x12
274,PW,X12,274x12
275,PI,X12,275x12
276,HR,X12,276x12
277,HN,X12,277x12
278,HI,X12,278x12
