CustomerMenu,CustMaint,1,JMenuItem,Müşteri Bakımı,,,,1,1
CustomerMenu,CustReport1,2,JMenuItem,Müşteri Gözat,,1,,1,1
CustomerMenu,CustXrefMaint,3,JMenuItem,Müşteri Xref Bakımı,,,,1,1
CustomerMenu,CustXrefBrowse,4,JMenuItem,Müşteri Xref Gözat,,,,1,1
CustomerMenu,CustPriceMaint,5,JMenuItem,Müşteri Fiyat Bakımı,,,,1,1
CustomerMenu,CustPriceReport,6,JMenuItem,Müşteri Fiyatına Göz Atın,,,,1,1
CustomerMenu,CusRptPicker,7,JMenuItem,Müşteri Raporu Seçici,,,,1,1
CustomerMenu,CustomerReports,8,JMenu,Diğer Müşteri Raporları,,,,1,1
CustomerMenu,CustControl,9,JMenuItem,Müşteri Kontrolü,,,,1,1
Adres,CustomerMenu,1,JMenu,Müşteri Menüsü,,,,1,1
Adres,VendorMenu,2,JMenu,Satıcı Menüsü,,,,1,1
Adres,EDIMenu,3,JMenu,EDI Menüsü,,,,1,1
Adres,LabelMenu,4,JMenu,Etiket Menüsü,,,,1,1
Adres,CarrierMaint,5,JMenuItem,Taşıyıcı Bakımı,,,,1,1
Adres,CarrierBrowse,6,JMenuItem,Taşıyıcı Gözat,,1,,1,1
Adres,FreightMaint,7,JMenuItem,Yük Bakımı,,,,1,1
Adres,FreightBrowse,8,JMenuItem,Navlun Gözat,,1,,1,1
Adres,TermsMaint,9,JMenuItem,Şartlar Bakım,,,,1,1
Adres,TermsBrowse,10,JMenuItem,Şartlar Gözat,,1,,1,1
Adres,TaxMaint,11,JMenuItem,Vergi Bakımı,,,,1,1
Adres,TaxBrowse,12,JMenuItem,Vergi Gözat,,1,,1,1
CustomerReports,piechart_salesbycust,1,JMenuItem,Müşteriye Göre Satışlar (PieChart),,1,,1,1
CustomerReports,piechart_custAR,2,JMenuItem,Müşteriye Göre Alacaklar (PieChart),,1,,1,1
VendorMenu,VendMaint,1,JMenuItem,Satıcı Bakımı,,,,1,1
VendorMenu,VendBrowse,2,JMenuItem,Satıcı Gözat,,1,,1,1
VendorMenu,VendXrefMaint,3,JMenuItem,Satıcı Xref Bakımı,,,,1,1
VendorMenu,VendXrefRpt1,4,JMenuItem,Satıcı Xref Gözat,,,,1,1
VendorMenu,VendPriceMaint,5,JMenuItem,Satıcı Fiyatı Bakımı,,,,1,1
VendorMenu,VendPriceRpt1,6,JMenuItem,Satıcı Fiyatına Göz Atın,,,,1,1
VendorMenu,VenRptPicker,7,JMenuItem,Satıcı Raporu Seçici,,,,1,1
VendorMenu,VendControl,8,JMenuItem,Satıcı Kontrolü,,,,1,1
EDIMenu,EDILoad,1,JMenuItem,EDI Load,,,,1,1
EDIMenu,EDILog,2,JMenuItem,EDI Log,,,,1,1
EDIMenu,APIMaint,3,JMenuItem,API Maintenance,,,,1,1
EDIMenu,APIBrowse,4,JMenuItem,API Browse,,,,1,1
EDIMenu,APILog,5,JMenuItem,API Log,,,,1,1
EDIMenu,EDIPartnerMaint,6,JMenuItem,EDI Partner Maintenance,,,,1,1
EDIMenu,EDIPartnerBrowse,7,JMenuItem,EDI Partner Browse,,1,,1,1
EDIMenu,EDIPartnerDocMaint,8,JMenuItem,Partner Transaction Maintenance,,,,1,1
EDIMenu,EDIPartnerDocBrowse,9,JMenuItem,EDI Partner Transaction Browse,,1,,1,1
EDIMenu,EDIDocumentMaint,10,JMenuItem,Document Recognition Maintenance,,,,1,1
EDIMenu,EDIXrefMaint,11,JMenuItem,EDI Xref Maintenance,,,,1,1
EDIMenu,MapMaint,12,JMenuItem,Map Maintenance,,,,1,1
EDIMenu,StructMaint,13,JMenuItem,Structure File Maintenance,,,,1,1
EDIMenu,MapTester,14,JMenuItem,Map Tester,,,,1,1
EDIMenu,EDIExport,15,JMenuItem,EDI Export,,,,1,1
EDIMenu,EDIControl,16,JMenuItem,EDI Control,,,,1,1
LabelMenu,LabelsContGeneric,1,JMenuItem,Konteyner Etiketleri,,,,1,1
LabelMenu,AddrLabel,2,JMenuItem,Adres Etiketleri,,,,1,1
LabelMenu,LabelBrowse,3,JMenuItem,Etikete Gözat,,1,,1,1
LabelMenu,LabelFileMaint,4,JMenuItem,Etiket Dosyası Bakımı,,,,1,1
LabelMenu,LabelFileBrowse,5,JMenuItem,Etiket Dosyası Gözat,,1,,1,1
Satın alma,POMaintMenu,1,JMenuItem,Satın Alma Siparişi Bakımı,,,,1,1
Satın alma,POBrowse,2,JMenuItem,Satın Alma Siparişine Gözat,,1,,1,1
Satın alma,ReceiverMaintMenu,3,JMenuItem,Alıcı Bakımı,,,,1,1
Satın alma,RecvBrowse,4,JMenuItem,Alıcı Gözat,,1,,1,1
Satın alma,RecvByPOBrowse,5,JMenuItem,Alıcıya Göre PO Gözat,,1,,1,1
Satın alma,PurRptPicker,6,JMenuItem,Satın Alma Raporu Seçici,,1,,1,1
Satın alma,RequisitionMenu,7,JMenu,Talep Menüsü,,,,1,1
Satın alma,POControl,8,JMenuItem,PO Kontrolü,,1,,1,1
RequisitionMenu,ReqMaint,1,JMenuItem,Talep Bakımı,,,,1,1
RequisitionMenu,ReqBrowseAll,2,JMenuItem,Talep Gözat,,1,,1,1
RequisitionMenu,PendReqRpt1,5,JMenuItem,Bekleyen Talepler,,1,,1,1
RequisitionMenu,ApprovedReqBrowse,3,JMenuItem,Onaylanmış Talepler,,1,,1,1
RequisitionMenu,ReqPendingApproval,4,JMenuItem,Onaylayan Tarafından Bekleniyor,,1,,1,1
RequisitionMenu,ReqByUserRpt,6,JMenuItem,Kullanıcıya Göre Talepler,,1,,1,1
RequisitionMenu,ReqChartsMenu,7,JMenu,Grafik Menüsü,,,,1,1
ReqChartsMenu,ReqAmtByDeptChart,1,JMenuItem,Bölüme Göre Dolar,,1,,1,1
ReqChartsMenu,ReqFreqByUserChart,2,JMenuItem,Kullanıcıya Göre Talepler,,1,,1,1
ReqChartsMenu,ReqAmtByAcctChart,3,JMenuItem,Hesapla Dolar,,1,,1,1
Emir,OrderMaint,1,JMenuItem,Sipariş Bakımı,,,,1,1
Emir,OrderBrowse,2,JMenuItem,Sipariş Gözat,,1,,1,1
Emir,ServiceOrderMaint,3,JMenuItem,Servis Siparişi Bakımı,,,,1,1
