#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status
EDI_DC,,1,no,yes,landmark,landmark,6,6,-,O
EDI_DC,,1,no,no,tabnam,Name of table structure,4,4,-,O
EDI_DC,,1,no,no,mandt,Client,3,3,-,O
EDI_DC,,1,no,no,docnum,IDoc number,16,16,-,O
EDI_DC,,1,no,no,docrel,SAP Release for IDoc,4,4,-,O
EDI_DC,,1,no,no,status,Status of IDoc,2,2,-,O
EDI_DC,,1,no,no,direct,Direction,1,1,-,O
EDI_DC,,1,no,no,outmod,Output mode,1,1,-,O
EDI_DC,,1,no,no,exprss,Overriding in inbound processing,1,1,-,O
EDI_DC,,1,no,no,test,Test flag,1,1,-,O
EDI_DC,,1,no,no,idoctyp,Name of basic type,30,30,-,O
EDI_DC,,1,no,no,cimtyp,Extension (defined by customer),30,30,-,O
EDI_DC,,1,no,no,mestyp,Message type,30,30,-,O
EDI_DC,,1,no,no,mescod,Message code,3,3,-,O
EDI_DC,,1,no,no,mesfct,Message Function,3,3,-,O
EDI_DC,,1,no,no,std,EDI standard flag,1,1,-,O
EDI_DC,,1,no,no,stdvrs,EDI standard version and release,6,6,-,O
EDI_DC,,1,no,no,stdmes,EDI message type,6,6,-,O
EDI_DC,,1,no,no,sndpor,Sender port (SAP System external subsystem),10,10,-,O
EDI_DC,,1,no,no,sndprt,Partner type of sender,2,2,-,O
EDI_DC,,1,no,no,sndpfc,Partner Function of Sender,2,2,-,O
EDI_DC,,1,no,no,sndprn,Partner Number of Sender,10,10,-,O
EDI_DC,,1,no,no,sndsad,Sender address (SADR),21,21,-,O
EDI_DC,,1,no,no,sndlad,Logical address of sender,70,70,-,O
EDI_DC,,1,no,no,rcvpor,Receiver port,10,10,-,O
EDI_DC,,1,no,no,rcvprt,Partner Type of Receiver,2,2,-,O
EDI_DC,,1,no,no,rcvpfc,Partner function of recipient,2,2,-,O
EDI_DC,,1,no,no,rcvprn,Partner Number of Receiver,10,10,-,O
EDI_DC,,1,no,no,rcvsad,Recipient address (SADR),21,21,-,O
EDI_DC,,1,no,no,rcvlad,Logical address of recipient,70,70,-,O
EDI_DC,,1,no,no,credat,Created on,8,8,-,O
EDI_DC,,1,no,no,cretim,Created at,6,6,-,O
EDI_DC,,1,no,no,refint,Transmission file (EDI Interchange),14,14,-,O
EDI_DC,,1,no,no,refgrp,Message group (EDI Message Group),14,14,-,O
EDI_DC,,1,no,no,refmes,Message (EDI Message),14,14,-,O
EDI_DC,,1,no,no,arckey,Key for external message archive,70,70,-,O
EDI_DC,,1,no,no,serial,Serialization,20,20,-,O
E2EDT20,,1,no,yes,landmark,landmark,7,7,-,O
E2EDT20,,1,no,no,segnam,Segment,23,23,-,O
E2EDT20,,1,no,no,mandt,Client,3,3,-,O
E2EDT20,,1,no,no,docnum,IDOC Number,16,16,-,O
E2EDT20,,1,no,no,segnum,Segment Number,6,6,-,O
E2EDT20,,1,no,no,psgnum,Number of Superior parent segments,6,6,-,O
E2EDT20,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-,O
E2EDT20,,1,no,no,TKNUM,Shipment Number,10,10,-,O
E2EDT20,,1,no,no,SHTYP,Shipment type,4,4,-,O
E2EDT20,,1,no,no,ABFER,Shipment completion type,1,1,-,O
E2EDT20,,1,no,no,ABWST,Processing control,1,1,-,O
E2EDT20,,1,no,no,BFART,Service Level,1,1,-,O
E2EDT20,,1,no,no,VSART,Shipping type,2,2,-,O
E2EDT20,,1,no,no,LAUFK,Leg Indicator,1,1,-,O
E2EDT20,,1,no,no,VSBED,Shipping Conditions,2,2,-,O
E2EDT20,,1,no,no,ROUTE,Shipment route,6,6,-,O
E2EDT20,,1,no,no,SIGNI,Container ID,20,20,-,O
E2EDT20,,1,no,no,EXTI1,External identification 1,20,20,-,O
E2EDT20,,1,no,no,EXTI2,External identification 2,20,20,-,O
E2EDT20,,1,no,no,TPBEZ,Description of Shipment,20,20,-,O
E2EDT20,,1,no,no,STTRG,Overall transportation status,1,1,-,O
E2EDT20,,1,no,no,PKSTK,Shipment Contains Handling Units,1,1,-,O
E2EDT20,,1,no,no,DTMEG,Unit of Weight for Transportation Planning,3,3,-,O
E2EDT20,,1,no,no,DTMEV,Volume Unit for Transportation Planning,3,3,-,O
E2EDT20,,1,no,no,DISTZ,Distance,15,15,-,O
E2EDT20,,1,no,no,MEDST,Unit of measure for distance,3,3,-,O
E2EDT20,,1,no,no,FAHZT,Travelling time only between two locations,7,7,-,O
E2EDT20,,1,no,no,GESZT,Total travelling time between two locations incl. breaks,7,7,-,O
E2EDT20,,1,no,no,MEIZT,Unit of measure for travelling times,3,3,-,O
E2EDT20,,1,no,no,FBSTA,Status of shipment costs calculation,1,1,-,O
E2EDT20,,1,no,no,FBGST,Overall status of calculation of shipment costs for shipment,1,1,-,O
E2EDT20,,1,no,no,ARSTA,Status of shipment costs settlement,1,1,-,O
E2EDT20,,1,no,no,ARGST,Total status of shipment costs settlement for shipment,1,1,-,O
E2EDT20,,1,no,no,STERM_DONE,Leg determination complete,1,1,-,O
E2EDT20,,1,no,no,VSE_FRK,Handling Unit Data are Referred in Shipment Cost Document,1,1,-,O
E2EDT20,,1,no,no,KKALSM,Pricing procedure in shipment header,6,6,-,O
E2EDT20,,1,no,no,SDABW,Special processing indicator,4,4,-,O
E2EDT20,,1,no,no,FRKRL,Shipment costs relevance,1,1,-,O
E2EDT20,,1,no,no,GESZTD,Planned total time of transportation (in days),12,12,-,O
E2EDT20,,1,no,no,FAHZTD,Planned duration of transportation (in hours:minutes),12,12,-,O
E2EDT20,,1,no,no,GESZTDA,Actual total time of shipment (in days),12,12,-,O
E2EDT20,,1,no,no,FAHZTDA,Actual time needed for transporation (in hours:minutes),12,12,-,O
E2EDT20,,1,no,no,WARZTD,Planned waiting time of shipment (in hours:minutes),12,12,-,O
E2EDT20,,1,no,no,WARZTDA,Current waiting time of shipment (in hours:minutes),12,12,-,O
E2EDT20,,1,no,no,EXT_FREIGHT_ORDER,External Freight Order ID,20,20,-,O
E2EDT20,,1,no,no,Key,Key Name of Business System,60,60,-,O
E2EDT22,,1,no,yes,landmark,landmark,7,7,-,O
E2EDT22,,1,no,no,segnam,Segment,23,23,-,O
E2EDT22,,1,no,no,mandt,Client,3,3,-,O
E2EDT22,,1,no,no,docnum,IDOC Number,16,16,-,O
E2EDT22,,1,no,no,segnum,Segment Number,6,6,-,O
E2EDT22,,1,no,no,psgnum,Number of Superior parent segments,6,6,-,O
E2EDT22,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-,O
E2EDT22,,1,no,no,SHTYP_BEZ,Description,20,20,-,O
E2EDT22,,1,no,no,BFART_BEZ,Description,20,20,-,O
E2EDT22,,1,no,no,VSART_BEZ,Description of the Shipping Type,20,20,-,O
E2EDT22,,1,no,no,LAUFK_BEZ,Description,20,20,-,O
E2EDT22,,1,no,no,VSBED_BEZ,Description of the shipping conditions,20,20,-,O
E2EDT22,,1,no,no,ROUTE_BEZ,Description,40,40,-,O
E2EDT22,,1,no,no,STTRG_BEZ,Description,20,20,-,O
E2EDT22,,1,no,no,FBSTA_BEZ,Description of status for calculation of shipment costs,25,25,-,O
E2EDT22,,1,no,no,FBGST_BEZ,Overall status of calculation of shipment costs for shipment,25,25,-,O
E2EDT22,,1,no,no,ARSTA_BEZ,Description for status of shipment costs settlement,25,25,-,O
E2EDT22,,1,no,no,ARGST_BEZ,Descr.for overall status of settlm. of shipping costs,25,25,-,O
E2EDT18,,1,no,yes,landmark,landmark,7,7,-,O
E2EDT18,,1,no,no,segnam,Segment,23,23,-,O
E2EDT18,,1,no,no,mandt,Client,3,3,-,O
E2EDT18,,1,no,no,docnum,IDOC Number,16,16,-,O
E2EDT18,,1,no,no,segnum,Segment Number,6,6,-,O
E2EDT18,,1,no,no,psgnum,Number of Superior parent segments,6,6,-,O
