#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align
EDI_DC,,1,no,yes,landmark,landmark,6,6,-
EDI_DC,,1,no,no,tabnam,Name of table structure,4,4,-
EDI_DC,,1,no,no,mandt,Client,3,3,-
EDI_DC,,1,no,no,docnum,IDoc number,16,16,-
EDI_DC,,1,no,no,docrel,SAP Release for IDoc,4,4,-
EDI_DC,,1,no,no,status,Status of IDoc,2,2,-
EDI_DC,,1,no,no,direct,Direction,1,1,-
EDI_DC,,1,no,no,outmod,Output mode,1,1,-
EDI_DC,,1,no,no,exprss,Overriding in inbound processing,1,1,-
EDI_DC,,1,no,no,test,Test flag,1,1,-
EDI_DC,,1,no,no,idoctyp,Name of basic type,30,30,-
EDI_DC,,1,no,no,cimtyp,Extension (defined by customer),30,30,-
EDI_DC,,1,no,no,mestyp,Message type,30,30,-
EDI_DC,,1,no,no,mescod,Message code,3,3,-
EDI_DC,,1,no,no,mesfct,Message Function,3,3,-
EDI_DC,,1,no,no,std,EDI standard flag,1,1,-
EDI_DC,,1,no,no,stdvrs,EDI standard version and release,6,6,-
EDI_DC,,1,no,no,stdmes,EDI message type,6,6,-
EDI_DC,,1,no,no,sndpor,Sender port (SAP System external subsystem),10,10,-
EDI_DC,,1,no,no,sndprt,Partner type of sender,2,2,-
EDI_DC,,1,no,no,sndpfc,Partner Function of Sender,2,2,-
EDI_DC,,1,no,no,sndprn,Partner Number of Sender,10,10,-
EDI_DC,,1,no,no,sndsad,Sender address (SADR),21,21,-
EDI_DC,,1,no,no,sndlad,Logical address of sender,70,70,-
EDI_DC,,1,no,no,rcvpor,Receiver port,10,10,-
EDI_DC,,1,no,no,rcvprt,Partner Type of Receiver,2,2,-
EDI_DC,,1,no,no,rcvpfc,Partner function of recipient,2,2,-
EDI_DC,,1,no,no,rcvprn,Partner Number of Receiver,10,10,-
EDI_DC,,1,no,no,rcvsad,Recipient address (SADR),21,21,-
EDI_DC,,1,no,no,rcvlad,Logical address of recipient,70,70,-
EDI_DC,,1,no,no,credat,Created on,8,8,-
EDI_DC,,1,no,no,cretim,Created at,6,6,-
EDI_DC,,1,no,no,refint,Transmission file (EDI Interchange),14,14,-
EDI_DC,,1,no,no,refgrp,Message group (EDI Message Group),14,14,-
EDI_DC,,1,no,no,refmes,Message (EDI Message),14,14,-
EDI_DC,,1,no,no,arckey,Key for external message archive,70,70,-
EDI_DC,,1,no,no,serial,Serialization,20,20,-
E2EDK01,,1,no,yes,landmark,landmark,7,7,-
E2EDK01,,1,no,no,segnam,Segment,23,23,-
E2EDK01,,1,no,no,mandt,Client,3,3,-
E2EDK01,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK01,,1,no,no,segnum,Segment Number,6,6,-
E2EDK01,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK01,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK01,,1,no,no,ACTION,Action code for the whole EDI message,3,3,-
E2EDK01,,1,no,no,KZABS,Flag: order acknowledgment required,1,1,-
E2EDK01,,1,no,no,CURCY,Currency,3,3,-
E2EDK01,,1,no,no,HWAER,EDI local currency,3,3,-
E2EDK01,,1,no,no,WKURS,Exchange rate,12,12,-
E2EDK01,,1,no,no,ZTERM,Terms of payment key,17,17,-
E2EDK01,,1,no,no,KUNDEUINR,VAT Registration Number,20,20,-
E2EDK01,,1,no,no,EIGENUINR,VAT Registration Number,20,20,-
E2EDK01,,1,no,no,BSART,Document type,4,4,-
E2EDK01,,1,no,no,BELNR,IDOC document number,35,35,-
E2EDK01,,1,no,no,NTGEW,Net weight,18,18,-
E2EDK01,,1,no,no,BRGEW,Net weight,18,18,-
E2EDK01,,1,no,no,GEWEI,Weight unit,3,3,-
E2EDK01,,1,no,no,FKART_RL,Invoice list type,4,4,-
E2EDK01,,1,no,no,ABLAD,Unloading Point,25,25,-
E2EDK01,,1,no,no,BSTZD,Purchase order number supplement,4,4,-
E2EDK01,,1,no,no,VSART,Shipping Conditions,2,2,-
E2EDK01,,1,no,no,VSART_BEZ,Description of the Shipping Type,20,20,-
E2EDK01,,1,no,no,RECIPNT_NO,Number of recipient (for control via the ALE model),10,10,-
E2EDK01,,1,no,no,KZAZU,Order Combination Indicator,1,1,-
E2EDK01,,1,no,no,AUTLF,Complete delivery defined for each sales order?,1,1,-
E2EDK01,,1,no,no,AUGRU,Order reason (reason for the business transaction),3,3,-
E2EDK01,,1,no,no,AUGRU_BEZ,Description,40,40,-
E2EDK01,,1,no,no,ABRVW,Usage Indicator,3,3,-
E2EDK01,,1,no,no,ABRVW_BEZ,Description,20,20,-
E2EDK01,,1,no,no,FKTYP,Billing category,1,1,-
E2EDK01,,1,no,no,LIFSK,Delivery block (document header),2,2,-
E2EDK01,,1,no,no,LIFSK_BEZ,Description,20,20,-
E2EDK01,,1,no,no,EMPST,Receiving point,25,25,-
E2EDK01,,1,no,no,ABTNR,Department number,4,4,-
E2EDK01,,1,no,no,DELCO,Agreed delivery time,3,3,-
E2EDK01,,1,no,no,WKURS_M,Indirectly quoted exchange rate in an IDoc segment,12,12,-
E2EDKA1,,1,no,yes,landmark,landmark,7,7,-
E2EDKA1,,1,no,no,segnam,Segment,23,23,-
E2EDKA1,,1,no,no,mandt,Client,3,3,-
E2EDKA1,,1,no,no,docnum,IDOC Number,16,16,-
E2EDKA1,,1,no,no,segnum,Segment Number,6,6,-
E2EDKA1,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDKA1,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDKA1,,1,no,no,PARVW,Partner function (e.g. sold-to party ship-to party ...),3,3,-
E2EDKA1,,1,no,no,PARTN,Partner number,17,17,-
E2EDKA1,,1,no,no,LIFNR,Vendor number at customer location,17,17,-
E2EDKA1,,1,no,no,Name,Name 1,35,35,-
E2EDKA1,,1,no,no,Name,Name 2,35,35,-
E2EDKA1,,1,no,no,Name,Name 3,35,35,-
E2EDKA1,,1,no,no,Name,Name 4,35,35,-
E2EDKA1,,1,no,no,STRAS,Street and house number 1,35,35,-
E2EDKA1,,1,no,no,STRS2,Street and house number 2,35,35,-
E2EDKA1,,1,no,no,PFACH,PO Box,35,35,-
E2EDKA1,,1,no,no,ORT01,City,35,35,-
E2EDKA1,,1,no,no,COUNC,County code,9,9,-
E2EDKA1,,1,no,no,PSTLZ,Postal code,9,9,-
E2EDKA1,,1,no,no,PSTL2,P.O. Box postal code,9,9,-
E2EDKA1,,1,no,no,LAND1,Country Key,3,3,-
E2EDKA1,,1,no,no,ABLAD,Unloading Point,35,35,-
E2EDKA1,,1,no,no,PERNR,Contact person's personnel number,30,30,-
E2EDKA1,,1,no,no,PARNR,Contact person's number (not personnel number),30,30,-
E2EDKA1,,1,no,no,TELF1,1st telephone number of contact person,25,25,-
E2EDKA1,,1,no,no,TELF2,2nd telephone number of contact person,25,25,-
E2EDKA1,,1,no,no,TELBX,Telebox number,25,25,-
E2EDKA1,,1,no,no,TELFX,Fax number,25,25,-
E2EDKA1,,1,no,no,TELTX,Teletex number,25,25,-
E2EDKA1,,1,no,no,TELX1,Telex number,25,25,-
E2EDKA1,,1,no,no,SPRAS,Language key,1,1,-
E2EDKA1,,1,no,no,ANRED,Form of Address,15,15,-
E2EDKA1,,1,no,no,ORT02,District,35,35,-
E2EDKA1,,1,no,no,HAUSN,House number,6,6,-
E2EDKA1,,1,no,no,STOCK,Floor,6,6,-
E2EDKA1,,1,no,no,REGIO,Region,3,3,-
E2EDKA1,,1,no,no,PARGE,Partner's gender,1,1,-
E2EDKA1,,1,no,no,ISOAL,Country ISO code,2,2,-
E2EDKA1,,1,no,no,ISONU,Country ISO code,2,2,-
E2EDKA1,,1,no,no,FCODE,Company key (France),20,20,-
E2EDKA1,,1,no,no,IHREZ,Your reference (Partner),30,30,-
E2EDKA1,,1,no,no,IDoc,IDoc user name,35,35,-
E2EDKA1,,1,no,no,PAORG,IDOC organization code,30,30,-
E2EDKA1,,1,no,no,ORGTX,IDoc organization code text,35,35,-
E2EDKA1,,1,no,no,PAGRU,IDoc group code,30,30,-
E2EDKA1,,1,no,no,KNREF,Customer description of partner (plant storage location),30,30,-
E2EDKA1,,1,no,no,ILNNR,Character field length 70,70,70,-
E2EDKA1,,1,no,no,PFORT,PO Box city,35,35,-
E2EDKA1,,1,no,no,SPRAS_ISO,2-Character SAP Language Code,2,2,-
E2EDKA1,,1,no,no,TITLE,Title,15,15,-
E2EDK02,,1,no,yes,landmark,landmark,7,7,-
E2EDK02,,1,no,no,segnam,Segment,23,23,-
E2EDK02,,1,no,no,mandt,Client,3,3,-
E2EDK02,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK02,,1,no,no,segnum,Segment Number,6,6,-
E2EDK02,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK02,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK02,,1,no,no,QUALF,IDOC qualifier reference document,3,3,-
E2EDK02,,1,no,no,BELNR,IDOC document number,35,35,-
E2EDK02,,1,no,no,POSNR,Item number,6,6,-
E2EDK02,,1,no,no,DATUM,IDOC: Date,8,8,-
E2EDK02,,1,no,no,UZEIT,IDOC: Time,6,6,-
E2EDK03,,1,no,yes,landmark,landmark,7,7,-
E2EDK03,,1,no,no,segnam,Segment,23,23,-
E2EDK03,,1,no,no,mandt,Client,3,3,-
E2EDK03,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK03,,1,no,no,segnum,Segment Number,6,6,-
E2EDK03,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK03,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK03,,1,no,no,IDDAT,Qualifier for IDOC date segment,3,3,-
E2EDK03,,1,no,no,DATUM,IDOC: Date,8,8,-
E2EDK03,,1,no,no,UZEIT,IDOC: Time,6,6,-
E2EDK05,,1,no,yes,landmark,landmark,7,7,-
E2EDK05,,1,no,no,segnam,Segment,23,23,-
E2EDK05,,1,no,no,mandt,Client,3,3,-
E2EDK05,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK05,,1,no,no,segnum,Segment Number,6,6,-
E2EDK05,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK05,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK05,,1,no,no,ALCKZ,Surcharge or discount indicator,3,3,-
E2EDK05,,1,no,no,KSCHL,Condition type (coded),4,4,-
E2EDK05,,1,no,no,KOTXT,Condition text,80,80,-
E2EDK05,,1,no,no,BETRG,Fixed surcharge/discount on total gross,18,18,-
E2EDK05,,1,no,no,KPERC,Condition percentage rate,8,8,-
E2EDK05,,1,no,no,KRATE,Condition record per unit,15,15,-
E2EDK05,,1,no,no,UPRBS,Price unit,9,9,-
E2EDK05,,1,no,no,MEAUN,Unit of measurement,3,3,-
E2EDK05,,1,no,no,KOBTR,IDoc condition end amount,18,18,-
E2EDK05,,1,no,no,MWSKZ,VAT indicator,7,7,-
E2EDK05,,1,no,no,MSATZ,VAT rate,17,17,-
E2EDK05,,1,no,no,KOEIN,Currency,3,3,-
E2EDK04,,1,no,yes,landmark,landmark,7,7,-
E2EDK04,,1,no,no,segnam,Segment,23,23,-
E2EDK04,,1,no,no,mandt,Client,3,3,-
E2EDK04,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK04,,1,no,no,segnum,Segment Number,6,6,-
E2EDK04,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK04,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK04,,1,no,no,MWSKZ,VAT indicator,7,7,-
E2EDK04,,1,no,no,MSATZ,VAT rate,17,17,-
