#204 - Motor Carrier Load Tender
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
B2,,1,no,yes,landmark,Beginning Segment for Shipment Information Transaction,2,2,-,M,F
B2,,1,no,no,e01,Tariff Service Code,2,2,-,O,F
B2,,1,no,no,e02,Standard Carrier Alpha Code,2,4,-,O/Z,F
B2,,1,no,no,e03,Standard Point Location Code,6,9,-,O,F
B2,,1,no,no,e04,Shipment Identification Number,1,30,-,O,F
B2,,1,no,no,e05,Weight Unit Code,1,1,-,O,F
B2,,1,no,no,e06,Shipment Method of Payment,2,2,-,M,F
B2,,1,no,no,e07,Shipment Qualifier,1,1,-,O,F
B2,,1,no,no,e08,Total Equipment,1,3,-,O,F
B2,,1,no,no,e09,Shipment Weight Code,1,1,-,O,F
B2,,1,no,no,e10,Customs Documentation Handling Code,2,2,-,O,F
B2,,1,no,no,e11,Transportation Terms Code,3,3,-,O/Z,F
B2,,1,no,no,e12,Payment Method Code,3,3,-,O,F
B2A,,1,no,yes,landmark,Set Purpose,3,3,-,M,F
B2A,,1,no,no,e01,Transaction Set Purpose Code,2,2,-,M,F
B2A,,1,no,no,e02,Application Type,2,2,-,O,F
C3,,1,no,yes,landmark,Currency Identifier,2,2,-,O,F
C3,,1,no,no,e01,Currency Code,3,3,-,M/Z,F
C3,,1,no,no,e02,Exchange Rate,4,10,-,O,F
C3,,1,no,no,e03,Currency Code,3,3,-,O/Z,F
C3,,1,no,no,e04,Currency Code,3,3,-,O/Z,F
L11,,99999,no,yes,landmark,Business Instructions and Reference Number,3,3,-,O,F
L11,,1,no,no,e01,Reference Identification,1,50,-,X,F
L11,,1,no,no,e02,Reference Identification Qualifier,2,3,-,X,F
L11,,1,no,no,e03,Description,1,80,-,X,F
L11,,1,no,no,e04,Date,8,8,-,O/Z,F
L11,,1,no,no,e05,Yes/No Condition or Response Code,1,1,-,O/Z,F
G62,,1,no,yes,landmark,Date/Time,3,3,-,O,F
G62,,1,no,no,e01,Date Qualifier,2,2,-,X,F
G62,,1,no,no,e02,Date,8,8,-,X,F
G62,,1,no,no,e03,Time Qualifier,1,2,-,X,F
G62,,1,no,no,e04,Time,4,8,-,X,F
G62,,1,no,no,e05,Time Code,2,2,-,O,F
MS3,,1,no,yes,landmark,Interline Information,3,3,-,O,F
MS3,,1,no,no,e01,Standard Carrier Alpha Code,2,4,-,M/Z,F
MS3,,1,no,no,e02,Routing Sequence Code,1,2,-,M,F
MS3,,1,no,no,e03,City Name,2,30,-,X/Z,F
MS3,,1,no,no,e04,Transportation Method/Type Code,1,2,-,O,F
MS3,,1,no,no,e05,State or Province Code,2,2,-,O,F
AT5,,6,yes,yes,landmark,Bill of Lading Handling Requirements,3,3,-,O,F
AT5,,1,no,no,e01,Special Handling Code,2,3,-,X,F
AT5,,1,no,no,e02,Special Services Code,2,10,-,X,F
AT5,,1,no,no,e03,Special Handling Description,2,30,-,X,F
AT5,,1,no,no,e04,Unit or Basis for Measurement Code,2,2,-,X,F
AT5,,1,no,no,e05,Temperature,1,4,-,X/Z,F
AT5,,1,no,no,e06,Temperature,1,4,-,X/Z,F
RTT,AT5,1,no,yes,landmark,Freight Rate Information,3,3,-,O,F
