#<h1>210 - Motor Carrier Freight Details and Invoice</h1><br>
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
B3,,1,no,yes,landmark,Beginning Segment for Carrier's Invoice,2,2,-,M,F
B3,,1,no,no,e01,Shipment Qualifier,1,1,-,O,F
B3,,1,no,no,e02,Invoice Number,1,22,-,M,F
B3,,1,no,no,e03,Shipment Identification Number,1,30,-,O,F
B3,,1,no,no,e04,Shipment Method of Payment,2,2,-,M,F
B3,,1,no,no,e05,Weight Unit Code,1,1,-,O,F
B3,,1,no,no,e06,Date,8,8,-,M/Z,F
B3,,1,no,no,e07,Net Amount Due,1,12,-,M,F
B3,,1,no,no,e08,Correction Indicator,2,2,-,O,F
B3,,1,no,no,e09,Delivery Date,8,8,-,X/Z,F
B3,,1,no,no,e10,Date/Time Qualifier,3,3,-,X,F
B3,,1,no,no,e11,Standard Carrier Alpha Code,2,4,-,M,F
B3,,1,no,no,e12,Date,8,8,-,O,F
B3,,1,no,no,e13,Tariff Service Code,2,2,-,O,F
B3,,1,no,no,e14,Transportation Terms Code,3,3,-,O/Z,F
C2,,1,no,yes,landmark,Bank ID,2,2,-,O,F
C2,,1,no,no,e01,Bank Client Code,1,1,-,M,F
C2,,1,no,no,e02,Identification Code Qualifier,1,2,-,M,F
C2,,1,no,no,e03,Identification Code,2,80,-,M,F
C2,,1,no,no,e04,Client Bank Number,3,9,-,O,F
C2,,1,no,no,e05,Bank Account Number,6,17,-,O,F
C2,,1,no,no,e06,Payment Method Type Code,1,2,-,O,F
C2,,1,no,no,e07,Date,8,8,-,O,F
C3,,1,no,yes,landmark,Currency Identifier,2,2,-,O,F
C3,,1,no,no,e01,Currency Code,3,3,-,M/Z,F
C3,,1,no,no,e02,Exchange Rate,4,10,-,O,F
C3,,1,no,no,e03,Currency Code,3,3,-,O/Z,F
C3,,1,no,no,e04,Currency Code,3,3,-,O/Z,F
ITD,,1,no,yes,landmark,Terms of Sale/Deferred Terms of Sale,3,3,-,O,F
ITD,,1,no,no,e01,Terms Type Code,2,2,-,O,F
ITD,,1,no,no,e02,Terms Basis Date Code,1,2,-,O,F
ITD,,1,no,no,e03,Terms Discount Percent,1,6,-,O,F
ITD,,1,no,no,e04,Terms Discount Due Date,8,8,-,X,F
ITD,,1,no,no,e05,Terms Discount Days Due,1,3,-,X,F
ITD,,1,no,no,e06,Terms Net Due Date,8,8,-,O,F
ITD,,1,no,no,e07,Terms Net Days,1,3,-,O,F
ITD,,1,no,no,e08,Terms Discount Amount,1,10,-,O,F
ITD,,1,no,no,e09,Terms Deferred Due Date,8,8,-,O,F
ITD,,1,no,no,e10,Deferred Amount Due,1,10,-,X,F
ITD,,1,no,no,e11,Percent of Invoice Payable,1,5,-,X,F
ITD,,1,no,no,e12,Description,1,80,-,O,F
ITD,,1,no,no,e13,Day of Month,1,2,-,X,F
ITD,,1,no,no,e14,Payment Method Type Code,1,2,-,O,F
ITD,,1,no,no,e15,Percentage as Decimal,1,10,-,O/Z,F
L11,,300,no,yes,landmark,Business Instructions and Reference Number,3,3,-,O,F
L11,,1,no,no,e01,Reference Identification,1,50,-,X,F
L11,,1,no,no,e02,Reference Identification Qualifier,2,3,-,X,F
