#214 - Transportation Carrier Shipment Status Message
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
B10,,1,no,yes,landmark,Beginning Segment for Transportation Carrier Shipment Status Message,3,3,-,M,F
B10,,1,no,no,e01,Reference Identification,1,50,-,X/Z,F
B10,,1,no,no,e02,Shipment Identification Number,1,30,-,O,F
B10,,1,no,no,e03,Standard Carrier Alpha Code,2,4,-,M,F
B10,,1,no,no,e04,Inquiry Request Number,1,3,-,O,F
B10,,1,no,no,e05,Reference Identification Qualifier,2,3,-,X,F
B10,,1,no,no,e06,Reference Identification,1,50,-,X,F
B10,,1,no,no,e07,Yes/No Condition or Response Code,1,1,-,O/Z,F
B10,,1,no,no,e08,Date,8,8,-,X/Z,F
B10,,1,no,no,e09,Time,4,8,-,X/Z,F
MS3,,12,no,yes,landmark,Interline Information,3,3,-,O,F
MS3,,1,no,no,e01,Standard Carrier Alpha Code,2,4,-,M/Z,F
MS3,,1,no,no,e02,Routing Sequence Code,1,2,-,M,F
MS3,,1,no,no,e03,City Name,2,30,-,X/Z,F
MS3,,1,no,no,e04,Transportation Method/Type Code,1,2,-,O,F
MS3,,1,no,no,e05,State or Province Code,2,2,-,O,F
LX,,999999,yes,yes,landmark,Transaction Set Line Number,2,2,-,M,F
LX,,1,no,no,e01,Assigned Number,1,6,-,M,F
L11,LX,999,no,yes,landmark,Business Instructions and Reference Number,3,3,-,O,F
L11,LX,1,no,no,e01,Reference Identification,1,50,-,X,F
L11,LX,1,no,no,e02,Reference Identification Qualifier,2,3,-,X,F
L11,LX,1,no,no,e03,Description,1,80,-,X,F
L11,LX,1,no,no,e04,Date,8,8,-,O/Z,F
L11,LX,1,no,no,e05,Yes/No Condition or Response Code,1,1,-,O/Z,F
MAN,LX,9999,no,yes,landmark,Marks and Numbers Information,3,3,-,O,F
MAN,LX,1,no,no,e01,Marks and Numbers Qualifier,1,2,-,M/Z,F
MAN,LX,1,no,no,e02,Marks and Numbers,1,48,-,M/Z,F
MAN,LX,1,no,no,e03,Marks and Numbers,1,48,-,O,F
MAN,LX,1,no,no,e04,Marks and Numbers Qualifier,1,2,-,X,F
MAN,LX,1,no,no,e05,Marks and Numbers,1,48,-,X/Z,F
MAN,LX,1,no,no,e06,Marks and Numbers,1,48,-,O,F
Q7,LX,10,no,yes,landmark,Lading Exception Status,2,2,-,O,F
Q7,LX,1,no,no,e01,Lading Exception Code,1,1,-,M,F
Q7,LX,1,no,no,e02,Packaging Form Code,3,3,-,O,F
Q7,LX,1,no,no,e03,Lading Quantity,1,7,-,X,F
K1,LX,10,no,yes,landmark,Remarks,2,2,-,O,F
K1,LX,1,no,no,e01,Free-form Information,1,30,-,M,F
K1,LX,1,no,no,e02,Free-form Information,1,30,-,O,F
AT5,LX,10,no,yes,landmark,Bill of Lading Handling Requirements,3,3,-,O,F
AT5,LX,1,no,no,e01,Special Handling Code,2,3,-,X,F
AT5,LX,1,no,no,e02,Special Services Code,2,10,-,X,F
AT5,LX,1,no,no,e03,Special Handling Description,2,30,-,X,F
AT5,LX,1,no,no,e04,Unit or Basis for Measurement Code,2,2,-,X,F
AT5,LX,1,no,no,e05,Temperature,1,4,-,X/Z,F
