#<h1>271 - Eligibility, Coverage or Benefit Information</h1><br>
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BHT,,1,no,yes,landmark,Beginning of Hierarchical Transaction,3,3,-,M,F
BHT,,1,no,no,e01,Hierarchical Structure Code,4,4,-,M,F
BHT,,1,no,no,e02,Transaction Set Purpose Code,2,2,-,M,F
BHT,,1,no,no,e03,Reference Identification,1,50,-,O/Z,F
BHT,,1,no,no,e04,Date,8,8,-,O/Z,F
BHT,,1,no,no,e05,Time,4,8,-,O/Z,F
BHT,,1,no,no,e06,Transaction Type Code,2,2,-,O,F
HL,,99999,yes,yes,landmark,Hierarchical Level,2,2,-,M,F
HL,,1,no,no,e01,Hierarchical ID Number,1,12,-,M,F
HL,,1,no,no,e02,Hierarchical Parent ID Number,1,12,-,O,F
HL,,1,no,no,e03,Hierarchical Level Code,1,2,-,M,F
HL,,1,no,no,e04,Hierarchical Child Code,1,1,-,O,F
TRN,HL,9,no,yes,landmark,Trace,3,3,-,O,F
TRN,HL,1,no,no,e01,Trace Type Code,1,2,-,M,F
TRN,HL,1,no,no,e02,Reference Identification,1,50,-,M/Z,F
TRN,HL,1,no,no,e03,Originating Company Identifier,10,10,-,O/Z,F
TRN,HL,1,no,no,e04,Reference Identification,1,50,-,O/Z,F
AAA,HL,9,no,yes,landmark,Request Validation,3,3,-,O,F
AAA,HL,1,no,no,e01,Yes/No Condition or Response Code,1,1,-,M/Z,F
AAA,HL,1,no,no,e02,Agency Qualifier Code,2,2,-,O,F
AAA,HL,1,no,no,e03,Reject Reason Code,2,2,-,O,F
AAA,HL,1,no,no,e04,Follow-up Action Code,1,1,-,O,F
NM1,,99999,yes,yes,landmark,Individual or Organizational Name,3,3,-,O,F
NM1,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
NM1,,1,no,no,e02,Entity Type Qualifier,1,1,-,M/Z,F
NM1,,1,no,no,e03,Name Last or Organization Name,1,60,-,X,F
NM1,,1,no,no,e04,Name First,1,35,-,O,F
NM1,,1,no,no,e05,Name Middle,1,25,-,O,F
NM1,,1,no,no,e06,Name Prefix,1,10,-,O,F
NM1,,1,no,no,e07,Name Suffix,1,10,-,O,F
NM1,,1,no,no,e08,Identification Code Qualifier,1,2,-,X,F
NM1,,1,no,no,e09,Identification Code,2,80,-,X,F
NM1,,1,no,no,e10,Entity Relationship Code,2,2,-,X,F
NM1,,1,no,no,e11,Entity Identifier Code,2,3,-,O,F
NM1,,1,no,no,e12,Name Last or Organization Name,1,60,-,O,F
REF,HL:NM1,9,no,yes,landmark,Reference Information,3,3,-,O,F
REF,HL:NM1,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,HL:NM1,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,HL:NM1,1,no,no,e03,Description,1,80,-,X,F
N2,HL:NM1,1,no,yes,landmark,Additional Name Information,2,2,-,O,F
N2,HL:NM1,1,no,no,e01,Name,1,60,-,M,F
N2,HL:NM1,1,no,no,e02,Name,1,60,-,O,F
N3,HL:NM1,1,no,yes,landmark,Party Location,2,2,-,O,F
N3,HL:NM1,1,no,no,e01,Address Information,1,55,-,M,F
N3,HL:NM1,1,no,no,e02,Address Information,1,55,-,O,F
