#<h1>300 - Reservation (Booking Request) (Ocean)</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
B1,,1,no,yes,landmark,Beginning Segment for Booking or Pickup/Delivery,2,2,-,M,F
B1,,1,no,no,e01,Standard Carrier Alpha Code,2,4,-,M/Z,F
B1,,1,no,no,e02,Shipment Identification Number,1,30,-,O,F
B1,,1,no,no,e03,Date,8,8,-,O/Z,F
B1,,1,no,no,e04,Reservation Action Code,1,1,-,O,F
B1,,1,no,no,e05,Yes/No Condition or Response Code,1,1,-,O/Z,F
B1,,1,no,no,e06,Shipment or Work Assignment Decline Reason Code,3,3,-,O/Z,F
G61,,3,no,yes,landmark,Contact,3,3,-,O,F
G61,,1,no,no,e01,Contact Function Code,2,2,-,M,F
G61,,1,no,no,e02,Name,1,60,-,M,F
G61,,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
G61,,1,no,no,e04,Communication Number,1,256,-,X,F
G61,,1,no,no,e05,Contact Inquiry Reference,1,20,-,O,F
Y6,,2,no,yes,landmark,Authentication,2,2,-,O,F
Y6,,1,no,no,e01,Authority Identifier Code,2,2,-,O,F
Y6,,1,no,no,e02,Authority,1,20,-,M,F
Y6,,1,no,no,e03,Authorization Date,8,8,-,M,F
Y7,,1,no,yes,landmark,Cargo Booking Priority,2,2,-,O,F
Y7,,1,no,no,e01,Priority,1,1,-,O,F
Y7,,1,no,no,e02,Priority Code,1,1,-,X,F
Y7,,1,no,no,e03,Priority Code Qualifier,1,1,-,X,F
Y7,,1,no,no,e04,Port Call File Number,4,4,-,O,F
Y7,,1,no,no,e05,Date,8,8,-,O/Z,F
Y1,,1,no,yes,landmark,Space Reservation Request,2,2,-,M,F
Y1,,1,no,no,e01,Sailing/Flight Date Estimated,8,8,-,O,F
Y1,,1,no,no,e02,Date,8,8,-,X/Z,F
Y1,,1,no,no,e03,Standard Carrier Alpha Code,2,4,-,O,F
Y1,,1,no,no,e04,Transportation Method/Type Code,1,2,-,O,F
Y1,,1,no,no,e05,Entity Identifier Code,2,3,-,O,F
Y1,,1,no,no,e06,City Name,2,30,-,O,F
Y1,,1,no,no,e07,State or Province Code,2,2,-,O,F
Y1,,1,no,no,e08,Tariff Service Code,2,2,-,O,F
Y1,,1,no,no,e09,Date/Time Qualifier,3,3,-,X,F
Y2,,10,yes,yes,landmark,Container Details,2,2,-,O,F
Y2,,1,no,no,e01,Number of Containers,1,4,-,M,F
Y2,,1,no,no,e02,Container Type Request Code,1,1,-,O,F
Y2,,1,no,no,e03,Type of Service Code,2,2,-,O,F
Y2,,1,no,no,e04,Equipment Type,4,4,-,M,F
Y2,,1,no,no,e05,Transportation Method/Type Code,1,2,-,O,F
Y2,,1,no,no,e06,Intermodal Service Code,1,2,-,O,F
Y2,,1,no,no,e07,Standard Carrier Alpha Code,2,4,-,O,F
Y2,,1,no,no,e08,Container Terms Code,3,3,-,O,F
Y2,,1,no,no,e09,Container Terms Code Qualifier,1,1,-,O,F
Y2,,1,no,no,e10,Total Stop-offs,1,2,-,O,F
W09,Y2,1,no,yes,landmark,Equipment and Temperature,3,3,-,O,F
W09,Y2,1,no,no,e01,Equipment Description Code,2,2,-,M,F
