#<h1>304 - Shipping Instructions</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
B2,,1,no,yes,landmark,Beginning Segment for Shipment Information Transaction,2,2,-,M,F
B2,,1,no,no,e01,Tariff Service Code,2,2,-,O,F
B2,,1,no,no,e02,Standard Carrier Alpha Code,2,4,-,O/Z,F
B2,,1,no,no,e03,Standard Point Location Code,6,9,-,O,F
B2,,1,no,no,e04,Shipment Identification Number,1,30,-,O,F
B2,,1,no,no,e05,Weight Unit Code,1,1,-,O,F
B2,,1,no,no,e06,Shipment Method of Payment,2,2,-,M,F
B2,,1,no,no,e07,Shipment Qualifier,1,1,-,O,F
B2,,1,no,no,e08,Total Equipment,1,3,-,O,F
B2,,1,no,no,e09,Shipment Weight Code,1,1,-,O,F
B2,,1,no,no,e10,Customs Documentation Handling Code,2,2,-,O,F
B2,,1,no,no,e11,Transportation Terms Code,3,3,-,O/Z,F
B2,,1,no,no,e12,Payment Method Code,3,3,-,O,F
B2A,,1,no,yes,landmark,Set Purpose,3,3,-,O,F
B2A,,1,no,no,e01,Transaction Set Purpose Code,2,2,-,M,F
B2A,,1,no,no,e02,Application Type,2,2,-,O,F
Y6,,2,no,yes,landmark,Authentication,2,2,-,O,F
Y6,,1,no,no,e01,Authority Identifier Code,2,2,-,O,F
Y6,,1,no,no,e02,Authority,1,20,-,M,F
Y6,,1,no,no,e03,Authorization Date,8,8,-,M,F
G1,,1,no,yes,landmark,Shipment Type Information,2,2,-,O,F
G1,,1,no,no,e01,Shipment Type Code,1,2,-,M,F
G1,,1,no,no,e02,Special Indicator Code,1,1,-,O,F
G1,,1,no,no,e03,Special Indicator Code,1,1,-,O,F
G2,,1,no,yes,landmark,Beyond Routing,2,2,-,O,F
G2,,1,no,no,e01,Special Indicator Code,1,1,-,M,F
G2,,1,no,no,e02,Description,1,80,-,O/Z,F
G3,,1,no,yes,landmark,Compensation Information,2,2,-,O,F
G3,,1,no,no,e01,Compensation Paid,2,5,-,O,F
G3,,1,no,no,e02,Total Compensation Amount,3,10,-,M,F
G3,,1,no,no,e03,Name,1,60,-,O,F
G3,,1,no,no,e04,Business Transaction Status,1,3,-,O,F
G3,,1,no,no,e05,Monetary Amount,1,18,-,O,F
G3,,1,no,no,e06,Compensation Qualifier,1,1,-,O,F
N9,,100,no,yes,landmark,Extended Reference Information,2,2,-,O,F
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
N9,,1,no,no,e02,Reference Identification,1,50,-,X,F
N9,,1,no,no,e03,Free-form Description,1,45,-,X,F
N9,,1,no,no,e04,Date,8,8,-,O,F
N9,,1,no,no,e05,Time,4,8,-,X,F
N9,,1,no,no,e06,Time Code,2,2,-,O/Z,F
YNQ,,10,no,yes,landmark,Yes/No Question,3,3,-,O,F
YNQ,,1,no,no,e01,Condition Indicator,2,3,-,X,F
YNQ,,1,no,no,e02,Yes/No Condition or Response Code,1,1,-,M/Z,F
YNQ,,1,no,no,e03,Date Time Period Format Qualifier,2,3,-,X,F
YNQ,,1,no,no,e04,Date Time Period,1,35,-,X,F
YNQ,,1,no,no,e05,Free-form Message Text,1,264,-,O,F
YNQ,,1,no,no,e06,Free-form Message Text,1,264,-,O,F
