#<h1>315 - Status Details (Ocean)</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
B4,,1,no,yes,landmark,Beginning Segment for Inquiry or Reply,2,2,-,M,F
B4,,1,no,no,e01,Special Handling Code,2,3,-,O,F
B4,,1,no,no,e02,Inquiry Request Number,1,3,-,O,F
B4,,1,no,no,e03,Shipment Status Code,1,2,-,O,F
B4,,1,no,no,e04,Date,8,8,-,O/Z,F
B4,,1,no,no,e05,Time,4,8,-,O/Z,F
B4,,1,no,no,e06,Status Location,3,5,-,O,F
B4,,1,no,no,e07,Equipment Initial,1,4,-,X,F
B4,,1,no,no,e08,Equipment Number,1,15,-,X,F
B4,,1,no,no,e09,Equipment Status Code,1,2,-,O,F
B4,,1,no,no,e10,Equipment Type,4,4,-,O,F
B4,,1,no,no,e11,Location Identifier,1,30,-,X,F
B4,,1,no,no,e12,Location Qualifier,1,2,-,X,F
B4,,1,no,no,e13,Equipment Number Check Digit,1,1,-,O,F
N9,,30,no,yes,landmark,Extended Reference Information,2,2,-,O,F
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
N9,,1,no,no,e02,Reference Identification,1,50,-,X,F
N9,,1,no,no,e03,Free-form Description,1,45,-,X,F
N9,,1,no,no,e04,Date,8,8,-,O,F
N9,,1,no,no,e05,Time,4,8,-,X,F
N9,,1,no,no,e06,Time Code,2,2,-,O/Z,F
Q2,,1,no,yes,landmark,Status Details (Ocean),2,2,-,O,F
Q2,,1,no,no,e01,Vessel Code,1,8,-,O,F
Q2,,1,no,no,e02,Country Code,2,3,-,O/Z,F
Q2,,1,no,no,e03,Date,8,8,-,O/Z,F
Q2,,1,no,no,e04,Date,8,8,-,O/Z,F
Q2,,1,no,no,e05,Date,8,8,-,O/Z,F
Q2,,1,no,no,e06,Lading Quantity,1,7,-,O,F
Q2,,1,no,no,e07,Weight,1,10,-,X,F
Q2,,1,no,no,e08,Weight Qualifier,1,2,-,X,F
Q2,,1,no,no,e09,Flight/Voyage Number,2,10,-,O,F
Q2,,1,no,no,e10,Reference Identification Qualifier,2,3,-,O,F
Q2,,1,no,no,e11,Reference Identification,1,50,-,X,F
Q2,,1,no,no,e12,Vessel Code Qualifier,1,1,-,O,F
Q2,,1,no,no,e13,Vessel Name,2,28,-,O,F
Q2,,1,no,no,e14,Volume,1,8,-,X,F
Q2,,1,no,no,e15,Volume Unit Qualifier,1,1,-,X,F
Q2,,1,no,no,e16,Weight Unit Code,1,1,-,X,F
SG,,15,no,yes,landmark,Shipment Status,2,2,-,O,F
SG,,1,no,no,e01,Shipment Status Code,1,2,-,X,F
SG,,1,no,no,e02,Status Reason Code,3,3,-,X,F
SG,,1,no,no,e03,Bill of Lading Disposition Code,2,2,-,X,F
SG,,1,no,no,e04,Date,8,8,-,O,F
SG,,1,no,no,e05,Time,4,8,-,X,F
SG,,1,no,no,e06,Time Code,2,2,-,O,F
R4,,20,yes,yes,landmark,Port or Terminal,2,2,-,M,F
R4,,1,no,no,e01,Port or Terminal Function Code,1,1,-,M,F
R4,,1,no,no,e02,Location Qualifier,1,2,-,X,F
R4,,1,no,no,e03,Location Identifier,1,30,-,X,F
