#<h1>404 - Rail Carrier Shipment Information</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
ZC1,,1,no,yes,landmark,Beginning Segment for Data Correction or Change,3,3,-,O,F
ZC1,,1,no,no,e01,Shipment Identification Number,1,30,-,O,F
ZC1,,1,no,no,e02,Equipment Initial,1,4,-,O,F
ZC1,,1,no,no,e03,Equipment Number,1,15,-,M,F
ZC1,,1,no,no,e04,Transaction Reference Number,1,50,-,M,F
ZC1,,1,no,no,e05,Transaction Reference Date,8,8,-,M,F
ZC1,,1,no,no,e06,Correction Indicator,2,2,-,M,F
ZC1,,1,no,no,e07,Standard Carrier Alpha Code,2,4,-,M,F
ZC1,,1,no,no,e08,Transportation Method/Type Code,1,2,-,M/Z,F
ZC1,,1,no,no,e09,Equipment Number Check Digit,1,1,-,O/Z,F
BX,,1,no,yes,landmark,General Shipment Information,2,2,-,O,F
BX,,1,no,no,e01,Transaction Set Purpose Code,2,2,-,M,F
BX,,1,no,no,e02,Transportation Method/Type Code,1,2,-,M,F
BX,,1,no,no,e03,Shipment Method of Payment,2,2,-,M,F
BX,,1,no,no,e04,Shipment Identification Number,1,30,-,O,F
BX,,1,no,no,e05,Standard Carrier Alpha Code,2,4,-,O,F
BX,,1,no,no,e06,Weight Unit Code,1,1,-,O,F
BX,,1,no,no,e07,Shipment Qualifier,1,1,-,O,F
BX,,1,no,no,e08,Section Seven Code,1,1,-,O,F
BX,,1,no,no,e09,Capacity Load Code,1,1,-,O,F
BX,,1,no,no,e10,Status Report Request Code,1,1,-,O,F
BX,,1,no,no,e11,Customs Documentation Handling Code,2,2,-,O,F
BX,,1,no,no,e12,Confidential Billing Request Code,1,1,-,O,F
BX,,1,no,no,e13,Goods and Services Tax Reason Code,1,1,-,O,F
BX,,1,no,no,e14,Application Type,2,2,-,O,F
BNX,,1,no,yes,landmark,Rail Shipment Information,3,3,-,O,F
BNX,,1,no,no,e01,Shipment Weight Code,1,1,-,O,F
BNX,,1,no,no,e02,Referenced Pattern Identifier,1,13,-,O,F
BNX,,1,no,no,e03,Billing Code,1,1,-,O,F
BNX,,1,no,no,e04,Repetitive Pattern Number,5,5,-,O,F
M3,,1,no,yes,landmark,Release,2,2,-,M,F
M3,,1,no,no,e01,Release Code,1,1,-,M/Z,F
M3,,1,no,no,e02,Date,8,8,-,X,F
M3,,1,no,no,e03,Time,4,8,-,X,F
M3,,1,no,no,e04,Time Code,2,2,-,O/Z,F
N9,,30,no,yes,landmark,Extended Reference Information,2,2,-,M,F
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
N9,,1,no,no,e02,Reference Identification,1,50,-,X,F
N9,,1,no,no,e03,Free-form Description,1,45,-,X,F
N9,,1,no,no,e04,Date,8,8,-,O,F
N9,,1,no,no,e05,Time,4,8,-,X,F
N9,,1,no,no,e06,Time Code,2,2,-,O/Z,F
CM,,2,no,yes,landmark,Cargo Manifest,2,2,-,O,F
CM,,1,no,no,e01,Flight/Voyage Number,2,10,-,O,F
CM,,1,no,no,e02,Port or Terminal Function Code,1,1,-,X,F
CM,,1,no,no,e03,Port Name,2,24,-,O,F
CM,,1,no,no,e04,Date,8,8,-,O/Z,F
