#810 - Invoice
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BIG,,1,no,yes,landmark,Beginning Segment for Invoice,3,3,-,M,F
BIG,,1,no,no,e01,Date,8,8,-,M/Z,F
BIG,,1,no,no,e02,Invoice Number,1,22,-,M,F
BIG,,1,no,no,e03,Date,8,8,-,O/Z,F
BIG,,1,no,no,e04,Purchase Order Number,1,22,-,O,F
BIG,,1,no,no,e05,Release Number,1,30,-,O,F
BIG,,1,no,no,e06,Change Order Sequence Number,1,8,-,O,F
BIG,,1,no,no,e07,Transaction Type Code,2,2,-,O,F
BIG,,1,no,no,e08,Transaction Set Purpose Code,2,2,-,O,F
BIG,,1,no,no,e09,Action Code,1,2,-,O,F
BIG,,1,no,no,e10,Invoice Number,1,22,-,O/Z,F
BIG,,1,no,no,e11,Hierarchical Structure Code,4,4,-,O,F
NTE,,100,no,yes,landmark,Note/Special Instruction,3,3,-,O,F
NTE,,1,no,no,e01,Note Reference Code,3,3,-,O,F
NTE,,1,no,no,e02,Description,1,80,-,M,F
CUR,,1,no,yes,landmark,Currency,3,3,-,O,F
CUR,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
CUR,,1,no,no,e02,Currency Code,3,3,-,M,F
CUR,,1,no,no,e03,Exchange Rate,4,10,-,O,F
CUR,,1,no,no,e04,Entity Identifier Code,2,3,-,O,F
CUR,,1,no,no,e05,Currency Code,3,3,-,O,F
CUR,,1,no,no,e06,Currency Market/Exchange Code,3,3,-,O,F
CUR,,1,no,no,e07,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e08,Date,8,8,-,O,F
CUR,,1,no,no,e09,Time,4,8,-,O,F
CUR,,1,no,no,e10,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e11,Date,8,8,-,X,F
CUR,,1,no,no,e12,Time,4,8,-,X,F
CUR,,1,no,no,e13,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e14,Date,8,8,-,X,F
CUR,,1,no,no,e15,Time,4,8,-,X,F
CUR,,1,no,no,e16,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e17,Date,8,8,-,X,F
CUR,,1,no,no,e18,Time,4,8,-,X,F
CUR,,1,no,no,e19,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e20,Date,8,8,-,X,F
CUR,,1,no,no,e21,Time,4,8,-,X,F
REF,,12,no,yes,landmark,Reference Information,3,3,-,O,F
REF,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,,1,no,no,e03,Description,1,80,-,X,F
YNQ,,10,no,yes,landmark,Yes/No Question,3,3,-,O,F
YNQ,,1,no,no,e01,Condition Indicator,2,3,-,X,F
YNQ,,1,no,no,e02,Yes/No Condition or Response Code,1,1,-,M/Z,F
YNQ,,1,no,no,e03,Date Time Period Format Qualifier,2,3,-,X,F
YNQ,,1,no,no,e04,Date Time Period,1,35,-,X,F
YNQ,,1,no,no,e05,Free-form Message Text,1,264,-,O,F
YNQ,,1,no,no,e06,Free-form Message Text,1,264,-,O,F
YNQ,,1,no,no,e07,Free-form Message Text,1,264,-,O,F
