#812 - Credit/Debit Adjustment
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z
BCD,,1,no,yes,landmark,Beginning Credit/Debit Adjustment,3,3,-,M
BCD,,1,no,no,e01,Date,8,8,-,M/Z
BCD,,1,no,no,e02,Credit/Debit Adjustment Number,1,22,-,M
BCD,,1,no,no,e03,Transaction Handling Code,1,2,-,M
BCD,,1,no,no,e04,Amount,1,15,-,M/Z
BCD,,1,no,no,e05,Credit/Debit Flag Code,1,1,-,M
BCD,,1,no,no,e06,Date,8,8,-,O/Z
BCD,,1,no,no,e07,Invoice Number,1,22,-,X
BCD,,1,no,no,e08,Vendor Order Number,1,22,-,O
BCD,,1,no,no,e09,Date,8,8,-,O/Z
BCD,,1,no,no,e10,Purchase Order Number,1,22,-,X
BCD,,1,no,no,e11,Transaction Set Purpose Code,2,2,-,O
BCD,,1,no,no,e12,Transaction Type Code,2,2,-,O
BCD,,1,no,no,e13,Reference Identification Qualifier,2,3,-,X
BCD,,1,no,no,e14,Reference Identification,1,50,-,X
BCD,,1,no,no,e15,Action Code,1,2,-,O
CUR,,1,no,yes,landmark,Currency,3,3,-,O
CUR,,1,no,no,e01,Entity Identifier Code,2,3,-,M
CUR,,1,no,no,e02,Currency Code,3,3,-,M
CUR,,1,no,no,e03,Exchange Rate,4,10,-,O
CUR,,1,no,no,e04,Entity Identifier Code,2,3,-,O
CUR,,1,no,no,e05,Currency Code,3,3,-,O
CUR,,1,no,no,e06,Currency Market/Exchange Code,3,3,-,O
CUR,,1,no,no,e07,Date/Time Qualifier,3,3,-,X
CUR,,1,no,no,e08,Date,8,8,-,O
CUR,,1,no,no,e09,Time,4,8,-,O
CUR,,1,no,no,e10,Date/Time Qualifier,3,3,-,X
CUR,,1,no,no,e11,Date,8,8,-,X
CUR,,1,no,no,e12,Time,4,8,-,X
CUR,,1,no,no,e13,Date/Time Qualifier,3,3,-,X
CUR,,1,no,no,e14,Date,8,8,-,X
CUR,,1,no,no,e15,Time,4,8,-,X
CUR,,1,no,no,e16,Date/Time Qualifier,3,3,-,X
CUR,,1,no,no,e17,Date,8,8,-,X
CUR,,1,no,no,e18,Time,4,8,-,X
CUR,,1,no,no,e19,Date/Time Qualifier,3,3,-,X
CUR,,1,no,no,e20,Date,8,8,-,X
CUR,,1,no,no,e21,Time,4,8,-,X
N9,,99999,no,yes,landmark,Extended Reference Information,2,2,-,O
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M
N9,,1,no,no,e02,Reference Identification,1,50,-,X
N9,,1,no,no,e03,Free-form Description,1,45,-,X
N9,,1,no,no,e04,Date,8,8,-,O
N9,,1,no,no,e05,Time,4,8,-,X
N9,,1,no,no,e06,Time Code,2,2,-,O/Z
PER,,99999,no,yes,landmark,Administrative Communications Contact,3,3,-,O
PER,,1,no,no,e01,Contact Function Code,2,2,-,M
PER,,1,no,no,e02,Name,1,60,-,O
PER,,1,no,no,e03,Communication Number Qualifier,2,2,-,X
PER,,1,no,no,e04,Communication Number,1,256,-,X
PER,,1,no,no,e05,Communication Number Qualifier,2,2,-,X
PER,,1,no,no,e06,Communication Number,1,256,-,X
PER,,1,no,no,e07,Communication Number Qualifier,2,2,-,X
PER,,1,no,no,e08,Communication Number,1,256,-,X
PER,,1,no,no,e09,Contact Inquiry Reference,1,20,-,O
ITD,,99999,no,yes,landmark,Terms of Sale/Deferred Terms of Sale,3,3,-,O
ITD,,1,no,no,e01,Terms Type Code,2,2,-,O
ITD,,1,no,no,e02,Terms Basis Date Code,1,2,-,O
ITD,,1,no,no,e03,Terms Discount Percent,1,6,-,O
ITD,,1,no,no,e04,Terms Discount Due Date,8,8,-,X
ITD,,1,no,no,e05,Terms Discount Days Due,1,3,-,X
ITD,,1,no,no,e06,Terms Net Due Date,8,8,-,O
ITD,,1,no,no,e07,Terms Net Days,1,3,-,O
ITD,,1,no,no,e08,Terms Discount Amount,1,10,-,O
ITD,,1,no,no,e09,Terms Deferred Due Date,8,8,-,O
ITD,,1,no,no,e10,Deferred Amount Due,1,10,-,X
ITD,,1,no,no,e11,Percent of Invoice Payable,1,5,-,X
ITD,,1,no,no,e12,Description,1,80,-,O
ITD,,1,no,no,e13,Day of Month,1,2,-,X
ITD,,1,no,no,e14,Payment Method Type Code,1,2,-,O
ITD,,1,no,no,e15,Percentage as Decimal,1,10,-,O/Z
DTM,,99999,no,yes,landmark,Date/Time Reference,3,3,-,O
DTM,,1,no,no,e01,Date/Time Qualifier,3,3,-,M
DTM,,1,no,no,e02,Date,8,8,-,X
DTM,,1,no,no,e03,Time,4,8,-,X
