#820 - Payment Order/Remittance Advice
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BPR,,1,no,yes,landmark,Beginning Segment for Payment Order/Remittance Advice,3,3,-,M,F
BPR,,1,no,no,e01,Transaction Handling Code,1,2,-,M,F
BPR,,1,no,no,e02,Monetary Amount,1,18,-,M/Z,F
BPR,,1,no,no,e03,Credit/Debit Flag Code,1,1,-,M,F
BPR,,1,no,no,e04,Payment Method Code,3,3,-,M,F
BPR,,1,no,no,e05,Payment Format Code,1,10,-,O,F
BPR,,1,no,no,e06,(DFI) ID Number Qualifier,2,2,-,X/Z,F
BPR,,1,no,no,e07,(DFI) Identification Number,3,12,-,X,F
BPR,,1,no,no,e08,Account Number Qualifier,1,3,-,O/Z,F
BPR,,1,no,no,e09,Account Number,1,35,-,X/Z,F
BPR,,1,no,no,e10,Originating Company Identifier,10,10,-,O/Z,F
BPR,,1,no,no,e11,Originating Company Supplemental Code,9,9,-,O,F
BPR,,1,no,no,e12,(DFI) ID Number Qualifier,2,2,-,X/Z,F
BPR,,1,no,no,e13,(DFI) Identification Number,3,12,-,X,F
BPR,,1,no,no,e14,Account Number Qualifier,1,3,-,O/Z,F
BPR,,1,no,no,e15,Account Number,1,35,-,X/Z,F
BPR,,1,no,no,e16,Date,8,8,-,O/Z,F
BPR,,1,no,no,e17,Business Function Code,1,3,-,O/Z,F
BPR,,1,no,no,e18,(DFI) ID Number Qualifier,2,2,-,X/Z,F
BPR,,1,no,no,e19,(DFI) Identification Number,3,12,-,X,F
BPR,,1,no,no,e20,Account Number Qualifier,1,3,-,O/Z,F
BPR,,1,no,no,e21,Account Number,1,35,-,X,F
NTE,,99999,no,yes,landmark,Note/Special Instruction,3,3,-,O,F
NTE,,1,no,no,e01,Note Reference Code,3,3,-,O,F
NTE,,1,no,no,e02,Description,1,80,-,M,F
TRN,,1,no,yes,landmark,Trace,3,3,-,O,F
TRN,,1,no,no,e01,Trace Type Code,1,2,-,M,F
TRN,,1,no,no,e02,Reference Identification,1,50,-,M/Z,F
TRN,,1,no,no,e03,Originating Company Identifier,10,10,-,O/Z,F
TRN,,1,no,no,e04,Reference Identification,1,50,-,O/Z,F
CUR,,1,no,yes,landmark,Currency,3,3,-,O,F
CUR,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
CUR,,1,no,no,e02,Currency Code,3,3,-,M,F
CUR,,1,no,no,e03,Exchange Rate,4,10,-,O,F
CUR,,1,no,no,e04,Entity Identifier Code,2,3,-,O,F
CUR,,1,no,no,e05,Currency Code,3,3,-,O,F
CUR,,1,no,no,e06,Currency Market/Exchange Code,3,3,-,O,F
CUR,,1,no,no,e07,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e08,Date,8,8,-,O,F
CUR,,1,no,no,e09,Time,4,8,-,O,F
CUR,,1,no,no,e10,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e11,Date,8,8,-,X,F
CUR,,1,no,no,e12,Time,4,8,-,X,F
CUR,,1,no,no,e13,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e14,Date,8,8,-,X,F
CUR,,1,no,no,e15,Time,4,8,-,X,F
