#830 - Planning Schedule with Release Capability
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BFR,,1,no,yes,landmark,Beginning Segment for Planning Schedule,3,3,-,M,F
BFR,,1,no,no,e01,Transaction Set Purpose Code,2,2,-,M/Z,F
BFR,,1,no,no,e02,Reference Identification,1,50,-,X/Z,F
BFR,,1,no,no,e03,Release Number,1,30,-,X,F
BFR,,1,no,no,e04,Schedule Type Qualifier,2,2,-,M,F
BFR,,1,no,no,e05,Schedule Quantity Qualifier,1,1,-,M,F
BFR,,1,no,no,e06,Date,8,8,-,M/Z,F
BFR,,1,no,no,e07,Date,8,8,-,O/Z,F
BFR,,1,no,no,e08,Date,8,8,-,M/Z,F
BFR,,1,no,no,e09,Date,8,8,-,O/Z,F
BFR,,1,no,no,e10,Contract Number,1,30,-,O,F
BFR,,1,no,no,e11,Purchase Order Number,1,22,-,O,F
BFR,,1,no,no,e12,Planning Schedule Type Code,2,2,-,O,F
BFR,,1,no,no,e13,Action Code,1,2,-,O,F
XPO,,99999,no,yes,landmark,Preassigned Purchase Order Numbers,3,3,-,O,F
XPO,,1,no,no,e01,Purchase Order Number,1,22,-,M/Z,F
XPO,,1,no,no,e02,Purchase Order Number,1,22,-,O,F
XPO,,1,no,no,e03,Identification Code Qualifier,1,2,-,X,F
XPO,,1,no,no,e04,Identification Code,2,80,-,X,F
CUR,,1,no,yes,landmark,Currency,3,3,-,O,F
CUR,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
CUR,,1,no,no,e02,Currency Code,3,3,-,M,F
CUR,,1,no,no,e03,Exchange Rate,4,10,-,O,F
CUR,,1,no,no,e04,Entity Identifier Code,2,3,-,O,F
CUR,,1,no,no,e05,Currency Code,3,3,-,O,F
CUR,,1,no,no,e06,Currency Market/Exchange Code,3,3,-,O,F
CUR,,1,no,no,e07,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e08,Date,8,8,-,O,F
CUR,,1,no,no,e09,Time,4,8,-,O,F
CUR,,1,no,no,e10,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e11,Date,8,8,-,X,F
CUR,,1,no,no,e12,Time,4,8,-,X,F
CUR,,1,no,no,e13,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e14,Date,8,8,-,X,F
CUR,,1,no,no,e15,Time,4,8,-,X,F
CUR,,1,no,no,e16,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e17,Date,8,8,-,X,F
CUR,,1,no,no,e18,Time,4,8,-,X,F
CUR,,1,no,no,e19,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e20,Date,8,8,-,X,F
CUR,,1,no,no,e21,Time,4,8,-,X,F
REF,,12,no,yes,landmark,Reference Information,3,3,-,O,F
REF,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,,1,no,no,e03,Description,1,80,-,X,F
PER,,3,no,yes,landmark,Administrative Communications Contact,3,3,-,O,F
PER,,1,no,no,e01,Contact Function Code,2,2,-,M,F
PER,,1,no,no,e02,Name,1,60,-,O,F
PER,,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
