#<h1>832 - Price/Sales Catalog</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BCT,,1,no,yes,landmark,Beginning Segment for Price/Sales Catalog,3,3,-,M,F
BCT,,1,no,no,e01,Catalog Purpose Code,2,2,-,M,F
BCT,,1,no,no,e02,Catalog Number,1,15,-,O,F
BCT,,1,no,no,e03,Catalog Version Number,1,15,-,O,F
BCT,,1,no,no,e04,Catalog Revision Number,1,6,-,O,F
BCT,,1,no,no,e05,Unit or Basis for Measurement Code,2,2,-,O,F
BCT,,1,no,no,e06,Catalog Number,1,15,-,O,F
BCT,,1,no,no,e07,Catalog Version Number,1,15,-,O,F
BCT,,1,no,no,e08,Catalog Revision Number,1,6,-,O,F
BCT,,1,no,no,e09,Description,1,80,-,O,F
BCT,,1,no,no,e10,Transaction Set Purpose Code,2,2,-,O,F
CTP,,100,no,yes,landmark,Pricing Information,3,3,-,O,F
CTP,,1,no,no,e01,Class of Trade Code,2,2,-,O,F
CTP,,1,no,no,e02,Price Identifier Code,3,3,-,X,F
CTP,,1,no,no,e03,Unit Price,1,17,-,X,F
CTP,,1,no,no,e04,Quantity,1,15,-,X,F
CTP,,1,no,no,e06,Price Multiplier Qualifier,3,3,-,O,F
CTP,,1,no,no,e07,Multiplier,1,10,-,X/Z,F
CTP,,1,no,no,e08,Monetary Amount,1,18,-,O/Z,F
CTP,,1,no,no,e09,Basis of Unit Price Code,2,2,-,O,F
CTP,,1,no,no,e10,Condition Value,1,10,-,O,F
CTP,,1,no,no,e11,Multiple Price Quantity,1,2,-,O,F
REF,,99999,no,yes,landmark,Reference Information,3,3,-,O,F
REF,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,,1,no,no,e03,Description,1,80,-,X,F
YNQ,,10,no,yes,landmark,Yes/No Question,3,3,-,O,F
YNQ,,1,no,no,e01,Condition Indicator,2,3,-,X,F
YNQ,,1,no,no,e02,Yes/No Condition or Response Code,1,1,-,M/Z,F
YNQ,,1,no,no,e03,Date Time Period Format Qualifier,2,3,-,X,F
YNQ,,1,no,no,e04,Date Time Period,1,35,-,X,F
YNQ,,1,no,no,e05,Free-form Message Text,1,264,-,O,F
YNQ,,1,no,no,e06,Free-form Message Text,1,264,-,O,F
YNQ,,1,no,no,e07,Free-form Message Text,1,264,-,O,F
YNQ,,1,no,no,e08,Code List Qualifier Code,1,3,-,X,F
YNQ,,1,no,no,e09,Industry Code,1,30,-,X,F
YNQ,,1,no,no,e10,Free-form Message Text,1,264,-,X/Z,F
PER,,99999,no,yes,landmark,Administrative Communications Contact,3,3,-,O,F
PER,,1,no,no,e01,Contact Function Code,2,2,-,M,F
PER,,1,no,no,e02,Name,1,60,-,O,F
PER,,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
PER,,1,no,no,e04,Communication Number,1,256,-,X,F
PER,,1,no,no,e05,Communication Number Qualifier,2,2,-,X,F
PER,,1,no,no,e06,Communication Number,1,256,-,X,F
PER,,1,no,no,e07,Communication Number Qualifier,2,2,-,X,F
PER,,1,no,no,e08,Communication Number,1,256,-,X,F
PER,,1,no,no,e09,Contact Inquiry Reference,1,20,-,O,F
