#<h1>834 - Benefit Enrollment and Maintenance</h1><br>
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BGN,,1,no,yes,landmark,Beginning Segment,3,3,-,M,F
BGN,,1,no,no,e01,Transaction Set Purpose Code,2,2,-,M,F
BGN,,1,no,no,e02,Reference Identification,1,50,-,M/Z,F
BGN,,1,no,no,e03,Date,8,8,-,M/Z,F
BGN,,1,no,no,e04,Time,4,8,-,X/Z,F
BGN,,1,no,no,e05,Time Code,2,2,-,O/Z,F
BGN,,1,no,no,e06,Reference Identification,1,50,-,O/Z,F
BGN,,1,no,no,e07,Transaction Type Code,2,2,-,O,F
BGN,,1,no,no,e08,Action Code,1,2,-,O,F
BGN,,1,no,no,e09,Security Level Code,2,2,-,O,F
REF,,99999,no,yes,landmark,Reference Information,3,3,-,O,F
REF,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,,1,no,no,e03,Description,1,80,-,X,F
DTP,,99999,no,yes,landmark,Date or Time or Period,3,3,-,O,F
DTP,,1,no,no,e01,Date/Time Qualifier,3,3,-,M,F
DTP,,1,no,no,e02,Date Time Period Format Qualifier,2,3,-,M/Z,F
DTP,,1,no,no,e03,Date Time Period,1,35,-,M,F
AMT,,99999,no,yes,landmark,Monetary Amount Information,3,3,-,O,F
AMT,,1,no,no,e01,Amount Qualifier Code,1,3,-,M,F
AMT,,1,no,no,e02,Monetary Amount,1,18,-,M,F
AMT,,1,no,no,e03,Credit/Debit Flag Code,1,1,-,O,F
QTY,,99999,no,yes,landmark,Quantity Information,3,3,-,O,F
QTY,,1,no,no,e01,Quantity Qualifier,2,2,-,M,F
QTY,,1,no,no,e02,Quantity,1,15,-,X,F
QTY,,1,no,no,e04,Free-form Information,1,30,-,X/Z,F
N1,,99999,yes,yes,landmark,Party Identification,2,2,-,M,F
N1,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
N1,,1,no,no,e02,Name,1,60,-,X,F
N1,,1,no,no,e03,Identification Code Qualifier,1,2,-,X,F
N1,,1,no,no,e04,Identification Code,2,80,-,X,F
N1,,1,no,no,e05,Entity Relationship Code,2,2,-,O,F
N1,,1,no,no,e06,Entity Identifier Code,2,3,-,O,F
N2,N1,2,no,yes,landmark,Additional Name Information,2,2,-,O,F
N2,N1,1,no,no,e01,Name,1,60,-,M,F
N2,N1,1,no,no,e02,Name,1,60,-,O,F
N3,N1,2,no,yes,landmark,Party Location,2,2,-,O,F
N3,N1,1,no,no,e01,Address Information,1,55,-,M,F
N3,N1,1,no,no,e02,Address Information,1,55,-,O,F
N4,N1,1,no,yes,landmark,Geographic Location,2,2,-,O,F
N4,N1,1,no,no,e01,City Name,2,30,-,O,F
N4,N1,1,no,no,e02,State or Province Code,2,2,-,X,F
N4,N1,1,no,no,e03,Postal Code,3,15,-,O,F
N4,N1,1,no,no,e04,Country Code,2,3,-,X,F
N4,N1,1,no,no,e05,Location Qualifier,1,2,-,X,F
N4,N1,1,no,no,e06,Location Identifier,1,30,-,O,F
N4,N1,1,no,no,e07,Country Subdivision Code,1,3,-,X,F
PER,N1,3,no,yes,landmark,Administrative Communications Contact,3,3,-,O,F
