#<h1>837 - Health Care Claim</h1><br>
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BHT,,1,no,yes,landmark,Beginning of Hierarchical Transaction,3,3,-,M,F
BHT,,1,no,no,e01,Hierarchical Structure Code,4,4,-,M,F
BHT,,1,no,no,e02,Transaction Set Purpose Code,2,2,-,M,F
BHT,,1,no,no,e03,Reference Identification,1,50,-,O/Z,F
BHT,,1,no,no,e04,Date,8,8,-,O/Z,F
BHT,,1,no,no,e05,Time,4,8,-,O/Z,F
BHT,,1,no,no,e06,Transaction Type Code,2,2,-,O,F
REF,,3,no,yes,landmark,Reference Information,3,3,-,O,F
REF,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,,1,no,no,e03,Description,1,80,-,X,F
NM1,,10,yes,yes,landmark,Individual or Organizational Name,3,3,-,O,F
NM1,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
NM1,,1,no,no,e02,Entity Type Qualifier,1,1,-,M/Z,F
NM1,,1,no,no,e03,Name Last or Organization Name,1,60,-,X,F
NM1,,1,no,no,e04,Name First,1,35,-,O,F
NM1,,1,no,no,e05,Name Middle,1,25,-,O,F
NM1,,1,no,no,e06,Name Prefix,1,10,-,O,F
NM1,,1,no,no,e07,Name Suffix,1,10,-,O,F
NM1,,1,no,no,e08,Identification Code Qualifier,1,2,-,X,F
NM1,,1,no,no,e09,Identification Code,2,80,-,X,F
NM1,,1,no,no,e10,Entity Relationship Code,2,2,-,X,F
NM1,,1,no,no,e11,Entity Identifier Code,2,3,-,O,F
NM1,,1,no,no,e12,Name Last or Organization Name,1,60,-,O,F
N2,NM1,2,no,yes,landmark,Additional Name Information,2,2,-,O,F
N2,NM1,1,no,no,e01,Name,1,60,-,M,F
N2,NM1,1,no,no,e02,Name,1,60,-,O,F
N3,NM1,2,no,yes,landmark,Party Location,2,2,-,O,F
N3,NM1,1,no,no,e01,Address Information,1,55,-,M,F
N3,NM1,1,no,no,e02,Address Information,1,55,-,O,F
N4,NM1,1,no,yes,landmark,Geographic Location,2,2,-,O,F
N4,NM1,1,no,no,e01,City Name,2,30,-,O,F
N4,NM1,1,no,no,e02,State or Province Code,2,2,-,X,F
N4,NM1,1,no,no,e03,Postal Code,3,15,-,O,F
N4,NM1,1,no,no,e04,Country Code,2,3,-,X,F
N4,NM1,1,no,no,e05,Location Qualifier,1,2,-,X,F
N4,NM1,1,no,no,e06,Location Identifier,1,30,-,O,F
N4,NM1,1,no,no,e07,Country Subdivision Code,1,3,-,X,F
REF,NM1,2,no,yes,landmark,Reference Information,3,3,-,O,F
REF,NM1,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,NM1,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,NM1,1,no,no,e03,Description,1,80,-,X,F
PER,NM1,2,no,yes,landmark,Administrative Communications Contact,3,3,-,O,F
PER,NM1,1,no,no,e01,Contact Function Code,2,2,-,M,F
PER,NM1,1,no,no,e02,Name,1,60,-,O,F
PER,NM1,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
PER,NM1,1,no,no,e04,Communication Number,1,256,-,X,F
