#856 - Ship Notice/Manifest
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BSN,,1,no,yes,landmark,Beginning Segment for Ship Notice,3,3,-,M,F
BSN,,1,no,no,e01,Transaction Set Purpose Code,2,2,-,M,F
BSN,,1,no,no,e02,Shipment Identification,2,30,-,M,F
BSN,,1,no,no,e03,Date,8,8,-,M/Z,F
BSN,,1,no,no,e04,Time,4,8,-,M/Z,F
BSN,,1,no,no,e05,Hierarchical Structure Code,4,4,-,O,F
BSN,,1,no,no,e06,Transaction Type Code,2,2,-,X/Z,F
BSN,,1,no,no,e07,Status Reason Code,3,3,-,O,F
DTM,,10,no,yes,landmark,Date/Time Reference,3,3,-,O,F
DTM,,1,no,no,e01,Date/Time Qualifier,3,3,-,M,F
DTM,,1,no,no,e02,Date,8,8,-,X,F
DTM,,1,no,no,e03,Time,4,8,-,X,F
DTM,,1,no,no,e04,Time Code,2,2,-,O,F
DTM,,1,no,no,e05,Date Time Period Format Qualifier,2,3,-,X,F
DTM,,1,no,no,e06,Date Time Period,1,35,-,X,F
HL,,200000,yes,yes,landmark,Hierarchical Level,2,2,-,M,F
HL,,1,no,no,e01,Hierarchical ID Number,1,12,-,M,F
HL,,1,no,no,e02,Hierarchical Parent ID Number,1,12,-,O,F
HL,,1,no,no,e03,Hierarchical Level Code,1,2,-,M,F
HL,,1,no,no,e04,Hierarchical Child Code,1,1,-,O,F
LIN,HL,1,no,yes,landmark,Item Identification,3,3,-,O,F
LIN,HL,1,no,no,e01,Assigned Identification,1,20,-,O/Z,F
LIN,HL,1,no,no,e02,Product/Service ID Qualifier,2,2,-,M,F
LIN,HL,1,no,no,e03,Product/Service ID,1,48,-,M,F
LIN,HL,1,no,no,e04,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e05,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e06,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e07,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e08,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e09,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e10,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e11,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e12,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e13,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e14,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e15,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e16,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e17,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e18,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e19,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e20,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e21,Product/Service ID,1,48,-,X,F
LIN,HL,1,no,no,e22,Product/Service ID Qualifier,2,2,-,X,F
LIN,HL,1,no,no,e23,Product/Service ID,1,48,-,X,F
