#<h1>861 - Receiving Advice/Acceptance Certificate</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BRA,,1,no,yes,landmark,Beginning Segment for Receiving Advice or Acceptance Certificate,3,3,-,M,F
BRA,,1,no,no,e01,Reference Identification,1,50,-,M,F
BRA,,1,no,no,e02,Date,8,8,-,M/Z,F
BRA,,1,no,no,e03,Transaction Set Purpose Code,2,2,-,M,F
BRA,,1,no,no,e04,Receiving Advice or Acceptance Certificate Type Code,1,1,-,M,F
BRA,,1,no,no,e05,Time,4,8,-,O/Z,F
BRA,,1,no,no,e06,Receiving Condition Code,2,2,-,O,F
BRA,,1,no,no,e07,Action Code,1,2,-,O,F
CUR,,1,no,yes,landmark,Currency,3,3,-,O,F
CUR,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
CUR,,1,no,no,e02,Currency Code,3,3,-,M,F
CUR,,1,no,no,e03,Exchange Rate,4,10,-,O,F
CUR,,1,no,no,e04,Entity Identifier Code,2,3,-,O,F
CUR,,1,no,no,e05,Currency Code,3,3,-,O,F
CUR,,1,no,no,e06,Currency Market/Exchange Code,3,3,-,O,F
CUR,,1,no,no,e07,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e08,Date,8,8,-,O,F
CUR,,1,no,no,e09,Time,4,8,-,O,F
CUR,,1,no,no,e10,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e11,Date,8,8,-,X,F
CUR,,1,no,no,e12,Time,4,8,-,X,F
CUR,,1,no,no,e13,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e14,Date,8,8,-,X,F
CUR,,1,no,no,e15,Time,4,8,-,X,F
CUR,,1,no,no,e16,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e17,Date,8,8,-,X,F
CUR,,1,no,no,e18,Time,4,8,-,X,F
CUR,,1,no,no,e19,Date/Time Qualifier,3,3,-,X,F
CUR,,1,no,no,e20,Date,8,8,-,X,F
CUR,,1,no,no,e21,Time,4,8,-,X,F
REF,,99999,no,yes,landmark,Reference Information,3,3,-,O,F
REF,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
REF,,1,no,no,e02,Reference Identification,1,50,-,X,F
REF,,1,no,no,e03,Description,1,80,-,X,F
PER,,3,no,yes,landmark,Administrative Communications Contact,3,3,-,O,F
PER,,1,no,no,e01,Contact Function Code,2,2,-,M,F
PER,,1,no,no,e02,Name,1,60,-,O,F
PER,,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
PER,,1,no,no,e04,Communication Number,1,256,-,X,F
PER,,1,no,no,e05,Communication Number Qualifier,2,2,-,X,F
PER,,1,no,no,e06,Communication Number,1,256,-,X,F
PER,,1,no,no,e07,Communication Number Qualifier,2,2,-,X,F
PER,,1,no,no,e08,Communication Number,1,256,-,X,F
PER,,1,no,no,e09,Contact Inquiry Reference,1,20,-,O,F
DTM,,10,no,yes,landmark,Date/Time Reference,3,3,-,M,F
DTM,,1,no,no,e01,Date/Time Qualifier,3,3,-,M,F
DTM,,1,no,no,e02,Date,8,8,-,X,F
DTM,,1,no,no,e03,Time,4,8,-,X,F
DTM,,1,no,no,e04,Time Code,2,2,-,O,F
