#<h1>870 - Order Status Report</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
BSR,,1,no,yes,landmark,Beginning Segment for Order Status Report,3,3,-,M,F
BSR,,1,no,no,e01,Status Report Code,1,2,-,M,F
BSR,,1,no,no,e02,Order/Item Code,1,2,-,M,F
BSR,,1,no,no,e03,Reference Identification,1,50,-,M/Z,F
BSR,,1,no,no,e04,Date,8,8,-,M/Z,F
BSR,,1,no,no,e05,Product/Date Code,1,2,-,O,F
BSR,,1,no,no,e06,Location Code,1,2,-,O,F
BSR,,1,no,no,e07,Time,4,8,-,O/Z,F
BSR,,1,no,no,e08,Reference Identification,1,50,-,O/Z,F
BSR,,1,no,no,e09,Date,8,8,-,O/Z,F
BSR,,1,no,no,e10,Time,4,8,-,O/Z,F
BSR,,1,no,no,e11,Transaction Set Purpose Code,2,2,-,O,F
BSR,,1,no,no,e12,Action Code,1,2,-,O,F
TD3,,1,no,yes,landmark,Carrier Details (Equipment),3,3,-,O,F
TD3,,1,no,no,e01,Equipment Description Code,2,2,-,X,F
TD3,,1,no,no,e02,Equipment Initial,1,4,-,O,F
TD3,,1,no,no,e03,Equipment Number,1,15,-,X,F
TD3,,1,no,no,e04,Weight Qualifier,1,2,-,O,F
TD3,,1,no,no,e05,Weight,1,10,-,X,F
TD3,,1,no,no,e06,Unit or Basis for Measurement Code,2,2,-,X,F
TD3,,1,no,no,e07,Ownership Code,1,1,-,O,F
TD3,,1,no,no,e08,Seal Status Code,2,2,-,O,F
TD3,,1,no,no,e09,Seal Number,2,15,-,O,F
TD3,,1,no,no,e10,Equipment Type,4,4,-,X,F
TD4,,1,no,yes,landmark,Carrier Details (Special Handling, or Hazardous Materials, or Both),3,3,-,O,F
TD4,,1,no,no,e01,Special Handling Code,2,3,-,X,F
TD4,,1,no,no,e02,Hazardous Material Code Qualifier,1,1,-,X,F
TD4,,1,no,no,e03,Hazardous Material Class Code,1,4,-,X,F
TD4,,1,no,no,e04,Description,1,80,-,X,F
TD4,,1,no,no,e05,Yes/No Condition or Response Code,1,1,-,O/Z,F
TD5,,1,no,yes,landmark,Carrier Details (Routing Sequence/Transit Time),3,3,-,O,F
TD5,,1,no,no,e01,Routing Sequence Code,1,2,-,O,F
TD5,,1,no,no,e02,Identification Code Qualifier,1,2,-,X,F
TD5,,1,no,no,e03,Identification Code,2,80,-,X,F
TD5,,1,no,no,e04,Transportation Method/Type Code,1,2,-,X,F
TD5,,1,no,no,e05,Routing,1,35,-,X,F
TD5,,1,no,no,e06,Shipment/Order Status Code,2,2,-,X,F
TD5,,1,no,no,e07,Location Qualifier,1,2,-,O,F
TD5,,1,no,no,e08,Location Identifier,1,30,-,X,F
TD5,,1,no,no,e09,Transit Direction Code,2,2,-,O,F
TD5,,1,no,no,e10,Transit Time Direction Qualifier,2,2,-,O,F
TD5,,1,no,no,e11,Transit Time,1,4,-,X,F
TD5,,1,no,no,e12,Service Level Code,2,2,-,X,F
TD5,,1,no,no,e13,Service Level Code,2,2,-,X,F
TD5,,1,no,no,e14,Service Level Code,2,2,-,O,F
TD5,,1,no,no,e15,Country Code,2,3,-,O/Z,F
DTM,,10,no,yes,landmark,Date/Time Reference,3,3,-,O,F
