#<h1>875 - Grocery Products Purchase Order</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
G50,,1,no,yes,landmark,Purchase Order Identification,3,3,-,M,F
G50,,1,no,no,e01,Order Status Code,1,1,-,M,F
G50,,1,no,no,e02,Date,8,8,-,M/Z,F
G50,,1,no,no,e03,Purchase Order Number,1,22,-,M,F
G50,,1,no,no,e04,Tax Exempt Code,1,1,-,O,F
G50,,1,no,no,e05,Master Reference (Link) Number,1,22,-,X,F
G50,,1,no,no,e06,Link Sequence Number,6,6,-,X,F
G50,,1,no,no,e07,Purchase Order Type Code,2,2,-,O,F
N9,,50,no,yes,landmark,Extended Reference Information,2,2,-,O,F
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
N9,,1,no,no,e02,Reference Identification,1,50,-,X,F
N9,,1,no,no,e03,Free-form Description,1,45,-,X,F
N9,,1,no,no,e04,Date,8,8,-,O,F
N9,,1,no,no,e05,Time,4,8,-,X,F
N9,,1,no,no,e06,Time Code,2,2,-,O/Z,F
G61,,3,no,yes,landmark,Contact,3,3,-,O,F
G61,,1,no,no,e01,Contact Function Code,2,2,-,M,F
G61,,1,no,no,e02,Name,1,60,-,M,F
G61,,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
G61,,1,no,no,e04,Communication Number,1,256,-,X,F
G61,,1,no,no,e05,Contact Inquiry Reference,1,20,-,O,F
G62,,10,no,yes,landmark,Date/Time,3,3,-,O,F
G62,,1,no,no,e01,Date Qualifier,2,2,-,X,F
G62,,1,no,no,e02,Date,8,8,-,X,F
G62,,1,no,no,e03,Time Qualifier,1,2,-,X,F
G62,,1,no,no,e04,Time,4,8,-,X,F
G62,,1,no,no,e05,Time Code,2,2,-,O,F
NTE,,20,no,yes,landmark,Note/Special Instruction,3,3,-,O,F
NTE,,1,no,no,e01,Note Reference Code,3,3,-,O,F
NTE,,1,no,no,e02,Description,1,80,-,M,F
G66,,1,no,yes,landmark,Transportation Instructions,3,3,-,O,F
G66,,1,no,no,e01,Shipment Method of Payment,2,2,-,O,F
G66,,1,no,no,e02,Transportation Method/Type Code,1,2,-,O,F
G66,,1,no,no,e03,Pallet Exchange Code,1,1,-,O,F
G66,,1,no,no,e04,Unit Load Option Code,2,2,-,O,F
G66,,1,no,no,e05,Routing,1,35,-,O,F
G66,,1,no,no,e06,F.O.B. Point Code,2,2,-,O,F
G66,,1,no,no,e07,F.O.B. Point,1,30,-,O,F
G23,,20,no,yes,landmark,Terms of Sale,3,3,-,O,F
G23,,1,no,no,e01,Terms Type Code,2,2,-,M,F
G23,,1,no,no,e02,Terms Basis Date Code,1,2,-,M,F
G23,,1,no,no,e03,Terms Start Date,8,8,-,O,F
G23,,1,no,no,e04,Terms Due Date Qualifier,2,2,-,O,F
G23,,1,no,no,e05,Terms Discount Percent,1,6,-,O,F
G23,,1,no,no,e06,Terms Discount Due Date,8,8,-,O,F
G23,,1,no,no,e07,Terms Discount Days Due,1,3,-,O,F
G23,,1,no,no,e08,Terms Net Due Date,8,8,-,X,F
G23,,1,no,no,e09,Terms Net Days,1,3,-,X,F
G23,,1,no,no,e10,Terms Discount Amount,1,10,-,O,F
