#<h1>880 - Grocery Products Invoice</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
G01,,1,no,yes,landmark,Invoice Identification,3,3,-,M,F
G01,,1,no,no,e01,Date,8,8,-,M/Z,F
G01,,1,no,no,e02,Invoice Number,1,22,-,M,F
G01,,1,no,no,e03,Date,8,8,-,O/Z,F
G01,,1,no,no,e04,Purchase Order Number,1,22,-,O,F
G01,,1,no,no,e05,Vendor Order Number,1,22,-,O,F
G01,,1,no,no,e06,Master Reference (Link) Number,1,22,-,X,F
G01,,1,no,no,e07,Link Sequence Number,6,6,-,X,F
G01,,1,no,no,e08,Transaction Type Code,2,2,-,O,F
N9,,10,no,yes,landmark,Extended Reference Information,2,2,-,O,F
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
N9,,1,no,no,e02,Reference Identification,1,50,-,X,F
N9,,1,no,no,e03,Free-form Description,1,45,-,X,F
N9,,1,no,no,e04,Date,8,8,-,O,F
N9,,1,no,no,e05,Time,4,8,-,X,F
N9,,1,no,no,e06,Time Code,2,2,-,O/Z,F
G61,,3,no,yes,landmark,Contact,3,3,-,O,F
G61,,1,no,no,e01,Contact Function Code,2,2,-,M,F
G61,,1,no,no,e02,Name,1,60,-,M,F
G61,,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
G61,,1,no,no,e04,Communication Number,1,256,-,X,F
G61,,1,no,no,e05,Contact Inquiry Reference,1,20,-,O,F
G62,,5,no,yes,landmark,Date/Time,3,3,-,O,F
G62,,1,no,no,e01,Date Qualifier,2,2,-,X,F
G62,,1,no,no,e02,Date,8,8,-,X,F
G62,,1,no,no,e03,Time Qualifier,1,2,-,X,F
G62,,1,no,no,e04,Time,4,8,-,X,F
G62,,1,no,no,e05,Time Code,2,2,-,O,F
NTE,,20,no,yes,landmark,Note/Special Instruction,3,3,-,O,F
NTE,,1,no,no,e01,Note Reference Code,3,3,-,O,F
NTE,,1,no,no,e02,Description,1,80,-,M,F
CAD,,5,no,yes,landmark,Carrier Details,3,3,-,O,F
CAD,,1,no,no,e01,Transportation Method/Type Code,1,2,-,M,F
CAD,,1,no,no,e02,Equipment Initial,1,4,-,O,F
CAD,,1,no,no,e03,Equipment Number,1,15,-,O,F
CAD,,1,no,no,e04,Standard Carrier Alpha Code,2,4,-,X,F
CAD,,1,no,no,e05,Routing,1,35,-,X,F
CAD,,1,no,no,e06,Shipment/Order Status Code,2,2,-,O,F
CAD,,1,no,no,e07,Reference Identification Qualifier,2,3,-,O,F
CAD,,1,no,no,e08,Reference Identification,1,50,-,X,F
CAD,,1,no,no,e09,Service Level Code,2,2,-,O,F
G23,,20,no,yes,landmark,Terms of Sale,3,3,-,O,F
G23,,1,no,no,e01,Terms Type Code,2,2,-,M,F
G23,,1,no,no,e02,Terms Basis Date Code,1,2,-,M,F
G23,,1,no,no,e03,Terms Start Date,8,8,-,O,F
G23,,1,no,no,e04,Terms Due Date Qualifier,2,2,-,O,F
G23,,1,no,no,e05,Terms Discount Percent,1,6,-,O,F
G23,,1,no,no,e06,Terms Discount Due Date,8,8,-,O,F
G23,,1,no,no,e07,Terms Discount Days Due,1,3,-,O,F
