#943 - Warehouse Stock Transfer Shipment Advice
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
W06,,1,no,yes,landmark,Warehouse Shipment Identification,3,3,-,M,F
W06,,1,no,no,e01,Reporting Code,1,1,-,M,F
W06,,1,no,no,e02,Depositor Order Number,1,22,-,O,F
W06,,1,no,no,e03,Date,8,8,-,O/Z,F
W06,,1,no,no,e04,Shipment Identification Number,1,30,-,O,F
W06,,1,no,no,e05,Agent Shipment ID Number,1,12,-,O,F
W06,,1,no,no,e06,Purchase Order Number,1,22,-,O,F
W06,,1,no,no,e07,Master Reference (Link) Number,1,22,-,X,F
W06,,1,no,no,e08,Link Sequence Number,6,6,-,X,F
W06,,1,no,no,e09,Special Handling Code,2,3,-,O,F
W06,,1,no,no,e10,Shipping Date Change Reason Code,2,2,-,O,F
W06,,1,no,no,e11,Transaction Type Code,2,2,-,O,F
W06,,1,no,no,e12,Action Code,1,2,-,O,F
N1,,10,yes,yes,landmark,Party Identification,2,2,-,M,F
N1,,1,no,no,e01,Entity Identifier Code,2,3,-,M,F
N1,,1,no,no,e02,Name,1,60,-,X,F
N1,,1,no,no,e03,Identification Code Qualifier,1,2,-,X,F
N1,,1,no,no,e04,Identification Code,2,80,-,X,F
N1,,1,no,no,e05,Entity Relationship Code,2,2,-,O,F
N1,,1,no,no,e06,Entity Identifier Code,2,3,-,O,F
N2,N1,1,no,yes,landmark,Additional Name Information,2,2,-,O,F
N2,N1,1,no,no,e01,Name,1,60,-,M,F
N2,N1,1,no,no,e02,Name,1,60,-,O,F
N3,N1,2,no,yes,landmark,Party Location,2,2,-,O,F
N3,N1,1,no,no,e01,Address Information,1,55,-,M,F
N3,N1,1,no,no,e02,Address Information,1,55,-,O,F
N4,N1,1,no,yes,landmark,Geographic Location,2,2,-,O,F
N4,N1,1,no,no,e01,City Name,2,30,-,O,F
N4,N1,1,no,no,e02,State or Province Code,2,2,-,X,F
N4,N1,1,no,no,e03,Postal Code,3,15,-,O,F
N4,N1,1,no,no,e04,Country Code,2,3,-,X,F
N4,N1,1,no,no,e05,Location Qualifier,1,2,-,X,F
N4,N1,1,no,no,e06,Location Identifier,1,30,-,O,F
N4,N1,1,no,no,e07,Country Subdivision Code,1,3,-,X,F
PER,N1,5,no,yes,landmark,Administrative Communications Contact,3,3,-,O,F
PER,N1,1,no,no,e01,Contact Function Code,2,2,-,M,F
PER,N1,1,no,no,e02,Name,1,60,-,O,F
PER,N1,1,no,no,e03,Communication Number Qualifier,2,2,-,X,F
PER,N1,1,no,no,e04,Communication Number,1,256,-,X,F
PER,N1,1,no,no,e05,Communication Number Qualifier,2,2,-,X,F
PER,N1,1,no,no,e06,Communication Number,1,256,-,X,F
PER,N1,1,no,no,e07,Communication Number Qualifier,2,2,-,X,F
PER,N1,1,no,no,e08,Communication Number,1,256,-,X,F
PER,N1,1,no,no,e09,Contact Inquiry Reference,1,20,-,O,F
N1,,,,,groupend,,,,,,F
N9,,10,no,yes,landmark,Extended Reference Information,2,2,-,O,F
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
N9,,1,no,no,e02,Reference Identification,1,50,-,X,F
N9,,1,no,no,e03,Free-form Description,1,45,-,X,F
