#944 - Warehouse Stock Transfer Receipt Advice
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z
W17,,1,no,yes,landmark,Warehouse Receipt Identification,3,3,-,M
W17,,1,no,no,e01,Reporting Code,1,1,-,M
W17,,1,no,no,e02,Date,8,8,-,M/Z
W17,,1,no,no,e03,Warehouse Receipt Number,1,12,-,M
W17,,1,no,no,e04,Depositor Order Number,1,22,-,O
W17,,1,no,no,e05,Shipment Identification Number,1,30,-,O
W17,,1,no,no,e06,Time Qualifier,1,2,-,X
W17,,1,no,no,e07,Time,4,8,-,X
W17,,1,no,no,e08,Master Reference (Link) Number,1,22,-,X
W17,,1,no,no,e09,Link Sequence Number,6,6,-,X
N1,,10,yes,yes,landmark,Party Identification,2,2,-,M
N1,,1,no,no,e01,Entity Identifier Code,2,3,-,M
N1,,1,no,no,e02,Name,1,60,-,X
N1,,1,no,no,e03,Identification Code Qualifier,1,2,-,X
N1,,1,no,no,e04,Identification Code,2,80,-,X
N1,,1,no,no,e05,Entity Relationship Code,2,2,-,O
N1,,1,no,no,e06,Entity Identifier Code,2,3,-,O
N2,N1,1,no,yes,landmark,Additional Name Information,2,2,-,O
N2,N1,1,no,no,e01,Name,1,60,-,M
N2,N1,1,no,no,e02,Name,1,60,-,O
N3,N1,2,no,yes,landmark,Party Location,2,2,-,O
N3,N1,1,no,no,e01,Address Information,1,55,-,M
N3,N1,1,no,no,e02,Address Information,1,55,-,O
N4,N1,1,no,yes,landmark,Geographic Location,2,2,-,O
N4,N1,1,no,no,e01,City Name,2,30,-,O
N4,N1,1,no,no,e02,State or Province Code,2,2,-,X
N4,N1,1,no,no,e03,Postal Code,3,15,-,O
N4,N1,1,no,no,e04,Country Code,2,3,-,X
N4,N1,1,no,no,e05,Location Qualifier,1,2,-,X
N4,N1,1,no,no,e06,Location Identifier,1,30,-,O
N4,N1,1,no,no,e07,Country Subdivision Code,1,3,-,X
PER,N1,5,no,yes,landmark,Administrative Communications Contact,3,3,-,O
PER,N1,1,no,no,e01,Contact Function Code,2,2,-,M
PER,N1,1,no,no,e02,Name,1,60,-,O
PER,N1,1,no,no,e03,Communication Number Qualifier,2,2,-,X
PER,N1,1,no,no,e04,Communication Number,1,256,-,X
PER,N1,1,no,no,e05,Communication Number Qualifier,2,2,-,X
PER,N1,1,no,no,e06,Communication Number,1,256,-,X
PER,N1,1,no,no,e07,Communication Number Qualifier,2,2,-,X
PER,N1,1,no,no,e08,Communication Number,1,256,-,X
PER,N1,1,no,no,e09,Contact Inquiry Reference,1,20,-,O
N1,,,,,groupend,,,,,
N9,,10,no,yes,landmark,Extended Reference Information,2,2,-,O
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M
N9,,1,no,no,e02,Reference Identification,1,50,-,X
N9,,1,no,no,e03,Free-form Description,1,45,-,X
N9,,1,no,no,e04,Date,8,8,-,O
N9,,1,no,no,e05,Time,4,8,-,X
N9,,1,no,no,e06,Time Code,2,2,-,O/Z
G61,,3,no,yes,landmark,Contact,3,3,-,O
G61,,1,no,no,e01,Contact Function Code,2,2,-,M
G61,,1,no,no,e02,Name,1,60,-,M
G61,,1,no,no,e03,Communication Number Qualifier,2,2,-,X
G61,,1,no,no,e04,Communication Number,1,256,-,X
G61,,1,no,no,e05,Contact Inquiry Reference,1,20,-,O
G62,,5,no,yes,landmark,Date/Time,3,3,-,O
G62,,1,no,no,e01,Date Qualifier,2,2,-,X
G62,,1,no,no,e02,Date,8,8,-,X
G62,,1,no,no,e03,Time Qualifier,1,2,-,X
G62,,1,no,no,e04,Time,4,8,-,X
G62,,1,no,no,e05,Time Code,2,2,-,O
NTE,,20,no,yes,landmark,Note/Special Instruction,3,3,-,O
NTE,,1,no,no,e01,Note Reference Code,3,3,-,O
NTE,,1,no,no,e02,Description,1,80,-,M
W08,,1,no,yes,landmark,Receipt Carrier Information,3,3,-,O
W08,,1,no,no,e01,Transportation Method/Type Code,1,2,-,M/Z
W08,,1,no,no,e02,Standard Carrier Alpha Code,2,4,-,X
W08,,1,no,no,e03,Routing,1,35,-,O
W08,,1,no,no,e04,Equipment Initial,1,4,-,X/Z
W08,,1,no,no,e05,Equipment Number,1,15,-,X
W08,,1,no,no,e06,Seal Number,2,15,-,O
W08,,1,no,no,e07,Seal Number,2,15,-,O
W08,,1,no,no,e08,Seal Status Code,2,2,-,O
W08,,1,no,no,e09,Unit Load Option Code,2,2,-,O
W18,,10,no,yes,landmark,Probe Temperatures,3,3,-,O
W18,,1,no,no,e01,Temperature Probe Location Code,2,2,-,M
W18,,1,no,no,e02,Temperature,1,4,-,M/Z
