#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
order,,1,no,yes,landmark,landmark,10,10,-,M,N
header,order,1,no,yes,landmark,landmark,6,6,-,M,N
header,order,1,no,no,type,type,1,40,-,O,A
header,order,1,no,no,purchaseordernumber,Purchase Order Number,1,40,-,O,F
header,order,1,no,no,orderdate,Order Date,1,40,-,O,F
header,order,1,no,no,duedate,Due Date,1,40,-,O,F
header,order,1,no,no,custnumber,Customer Number,1,40,-,O,F
header,order,1,no,no,doctype,Document Type,1,40,-,O,F
header,order,1,no,no,senderid,Sender Identification Number,1,40,-,M,F
header,order,1,no,no,receiverid,Receiver Identification Number,1,40,-,M,F
header,order,1,no,no,shipmentmethod,Shipment Method,1,40,-,O,F
address,order,5,yes,yes,landmark,landmark,9,9,-,M,N
address,order,1,no,no,type,type,1,40,-,O,A
address,order,1,no,no,addressname,Name,1,40,-,O,F
address,order,1,no,no,addressline1,Line 1 Addr,1,70,-,O,F
address,order,1,no,no,addressline2,Line 2 Addr,1,70,-,O,F
address,order,1,no,no,addresscity,City,1,40,-,O,F
address,order,1,no,no,addressstate,State,1,40,-,O,F
address,order,1,no,no,addresszip,Postal / Zip Code,1,40,-,O,F
address,order,1,no,no,addresscountry,Country,1,3,-,O,F
detail,order,1,yes,yes,landmark,landmark,9,9,-,M,N
item,order:detail,100,yes,yes,landmark,landmark,9,9,-,M,N
item,order:detail,1,no,no,line,Line Number,1,40,-,O,F
item,order:detail,1,no,no,itemnumber,Item Number,1,40,-,O,F
item,order:detail,1,no,no,uom,Unit of Measure,1,40,-,O,F
item,order:detail,1,no,no,description,Description,1,40,-,O,F
item,order:detail,1,no,no,quantity,Quantity Ordered,1,40,-,O,F
item,order:detail,1,no,no,listprice,List Price,1,40,-,O,F
item,order:detail,1,no,no,netprice,Net Price,1,40,-,O,F
item,order:detail,1,no,no,custnumber,Customer Item Number,1,40,-,O,F
item,order:detail,1,no,no,skunumber,Sku Number,1,40,-,O,F
