#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,type
cXML,,1,no,yes,landmark,landmark,10,10,-,M,N
cXML,,1,no,no,version,version,1,40,-,O,A
cXML,,1,no,no,MeansDescriptionCode,MeansDescriptionCode,1,40,-,O,A
cXML,,1,no,no,payloadID,payloadID,1,40,-,O,A
cXML,,1,no,no,timestamp,timestamp,1,40,-,O,A
Header,cXML,1,no,yes,landmark,landmark,6,6,-,M,N
From,cXML:Header,1,no,yes,landmark,landmark,6,6,-,M,N
Credential,cXML:Header:From,1,no,yes,landmark,landmark,6,6,-,M,N
Credential,cXML:Header:From,1,no,no,domain,domain,1,40,-,O,A
Credential,cXML:Header:From,1,no,no,Identity,Identity,1,40,-,O,F
Credential,cXML:Header:From,1,no,no,title,title,1,40,-,O,X
To,cXML:Header,1,no,yes,landmark,landmark,6,6,-,M,N
Credential,cXML:Header:To,1,no,yes,landmark,landmark,6,6,-,M,N
Credential,cXML:Header:To,1,no,no,Identity,Identity,1,40,-,O,F
Sender,cXML:Header,1,no,yes,landmark,landmark,6,6,-,M,N
Credential,cXML:Header:Sender,1,no,yes,landmark,landmark,6,6,-,M,N
Credential,cXML:Header:Sender,1,no,no,Identity,Identity,1,40,-,O,F
Request,cXML,5,yes,yes,landmark,landmark,9,9,-,M,N
OrderRequest,cXML:Request,5,yes,yes,landmark,landmark,9,9,-,M,N
OrderRequestHeader,cXML:Request:OrderRequest,5,yes,yes,landmark,landmark,9,9,-,M,N
ShipTo,cXML:Request:OrderRequest:OrderRequestHeader,5,yes,yes,landmark,landmark,9,9,-,M,N
Address,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo,5,yes,yes,landmark,landmark,9,9,-,M,N
Address,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo,1,no,no,isoCountryCode,isoCountryCode,1,40,-,O,A
Address,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo,1,no,no,addressID,addressID,1,40,-,O,A
Address,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo,1,no,no,Name,Name,1,40,-,O,F
Address,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo,1,no,no,ReturnData,ReturnData,1,40,-,O,X
PostalAddress,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo:Address,5,yes,yes,landmark,landmark,9,9,-,M,N
PostalAddress,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo:Address,1,no,no,DeliverTo,DeliverTo,1,70,-,O,F
PostalAddress,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo:Address,1,no,no,Street,Street,1,70,-,O,F
PostalAddress,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo:Address,1,no,no,City,City,1,70,-,O,F
PostalAddress,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo:Address,1,no,no,State,State,1,70,-,O,F
PostalAddress,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo:Address,1,no,no,PostalCode,PostalCode,1,70,-,O,F
PostalAddress,cXML:Request:OrderRequest:OrderRequestHeader:ShipTo:Address,1,no,no,Country,Country,1,70,-,O,F
BillTo,cXML:Request:OrderRequest:OrderRequestHeader,5,yes,yes,landmark,landmark,9,9,-,M,N
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,5,yes,yes,landmark,landmark,9,9,-,M,N
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,isoCountryCode,isoCountryCode,1,40,-,O,A
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,addressID,addressID,1,40,-,O,A
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,Name,Name,1,40,-,O,F
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,ReturnData,ReturnData,1,40,-,O,X
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,addressname,Name,1,40,-,O,F
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,addressline1,Line 1 Addr,1,70,-,O,F
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,addresscity,City,1,40,-,O,F
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,addressstate,State,1,40,-,O,F
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,addresszip,Postal / Zip Code,1,40,-,O,F
Address,cXML:Request:OrderRequest:OrderRequestHeader:BillTo,1,no,no,addresscountry,Country,1,3,-,O,F
ItemOut,cXML:Request:OrderRequest,1,yes,yes,landmark,landmark,9,9,-,M,N
ItemOut,cXML:Request:OrderRequest,1,no,no,line,Line Number,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,ItemOutnumber,Item Number,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,uom,Unit of Measure,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,description,Description,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,quantity,Quantity Ordered,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,listprice,List Price,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,netprice,Net Price,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,custnumber,Customer Item Number,1,40,-,O,F
ItemOut,cXML:Request:OrderRequest,1,no,no,skunumber,Sku Number,1,40,-,O,F
