#segment,parent,loopcount,isgroup,islandmark,field,Desc,min,max,align
EDI_DC,,1,no,yes,landmark,landmark,6,6,-
EDI_DC,,1,no,no,tabnam,Name of table structure,4,4,-
EDI_DC,,1,no,no,mandt,Client,3,3,-
EDI_DC,,1,no,no,docnum,IDoc number,16,16,-
EDI_DC,,1,no,no,docrel,SAP Release for IDoc,4,4,-
EDI_DC,,1,no,no,status,Status of IDoc,2,2,-
EDI_DC,,1,no,no,direct,Direction,1,1,-
EDI_DC,,1,no,no,outmod,Output mode,1,1,-
EDI_DC,,1,no,no,exprss,Overriding in inbound processing,1,1,-
EDI_DC,,1,no,no,test,Test flag,1,1,-
EDI_DC,,1,no,no,idoctyp,Name of basic type,30,30,-
EDI_DC,,1,no,no,cimtyp,Extension (defined by customer),30,30,-
EDI_DC,,1,no,no,mestyp,Message type,30,30,-
EDI_DC,,1,no,no,mescod,Message code,3,3,-
EDI_DC,,1,no,no,mesfct,Message Function,3,3,-
EDI_DC,,1,no,no,std,EDI standard flag,1,1,-
EDI_DC,,1,no,no,stdvrs,EDI standard version and release,6,6,-
EDI_DC,,1,no,no,stdmes,EDI message type,6,6,-
EDI_DC,,1,no,no,sndpor,Sender port (SAP System external subsystem),10,10,-
EDI_DC,,1,no,no,sndprt,Partner type of sender,2,2,-
EDI_DC,,1,no,no,sndpfc,Partner Function of Sender,2,2,-
EDI_DC,,1,no,no,sndprn,Partner Number of Sender,10,10,-
EDI_DC,,1,no,no,sndsad,Sender address (SADR),21,21,-
EDI_DC,,1,no,no,sndlad,Logical address of sender,70,70,-
EDI_DC,,1,no,no,rcvpor,Receiver port,10,10,-
EDI_DC,,1,no,no,rcvprt,Partner Type of Receiver,2,2,-
EDI_DC,,1,no,no,rcvpfc,Partner function of recipient,2,2,-
EDI_DC,,1,no,no,rcvprn,Partner Number of Receiver,10,10,-
EDI_DC,,1,no,no,rcvsad,Recipient address (SADR),21,21,-
EDI_DC,,1,no,no,rcvlad,Logical address of recipient,70,70,-
EDI_DC,,1,no,no,credat,Created on,8,8,-
EDI_DC,,1,no,no,cretim,Created at,6,6,-
EDI_DC,,1,no,no,refint,Transmission file (EDI Interchange),14,14,-
EDI_DC,,1,no,no,refgrp,Message group (EDI Message Group),14,14,-
EDI_DC,,1,no,no,refmes,Message (EDI Message),14,14,-
EDI_DC,,1,no,no,arckey,Key for external message archive,70,70,-
EDI_DC,,1,no,no,serial,Serialization,20,20,-
E2EDK01,,1,no,yes,landmark,landmark,7,7,-
E2EDK01,,1,no,no,segnam,Segment (external name),23,23,-
E2EDK01,,1,no,no,mandt,Client,3,3,-
E2EDK01,,1,no,no,docnum,IDoc number,16,16,-
E2EDK01,,1,no,no,segnum,Segment Number,6,6,-
E2EDK01,,1,no,no,psgnum,Number of superior parent segment,6,6,-
E2EDK01,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK01,,1,no,no,action,Action code for the whole EDI message,3,3,-
E2EDK01,,1,no,no,kzabs,Flag: order acknowledgment required,1,1,-
E2EDK01,,1,no,no,curcy,Currency,3,3,-
E2EDK01,,1,no,no,hwaer,EDI local currency,3,3,-
E2EDK01,,1,no,no,wkurs,Exchange rate,12,12,-
E2EDK01,,1,no,no,zterm,Terms of payment key,17,17,-
E2EDK01,,1,no,no,kundeuinr,VAT Registration Number,20,20,-
E2EDK01,,1,no,no,eigenuinr,VAT Registration Number,20,20,-
E2EDK01,,1,no,no,bsart,Document type,4,4,-
E2EDK01,,1,no,no,belnr,IDOC document number,35,35,-
E2EDK01,,1,no,no,ntgew,Net weight,18,18,-
E2EDK01,,1,no,no,brgew,Net weight,18,18,-
E2EDK01,,1,no,no,gewei,Weight unit,3,3,-
E2EDK01,,1,no,no,fkart_rl,Invoice list type,4,4,-
E2EDK01,,1,no,no,ablad,Unloading Point,25,25,-
E2EDK01,,1,no,no,bstzd,Purchase order number supplement,4,4,-
E2EDK01,,1,no,no,vsart,Shipping Conditions,2,2,-
E2EDK01,,1,no,no,vsart_bez,Description of the Shipping Type,20,20,-
E2EDK01,,1,no,no,recipnt_no,Number of recipient (for control via the ALE model),10,10,-
E2EDK01,,1,no,no,kzazu,Order Combination Indicator,1,1,-
E2EDK01,,1,no,no,autlf,Complete delivery defined for each sales order?,1,1,-
E2EDK01,,1,no,no,augru,Order reason (reason for the business transaction),3,3,-
E2EDK01,,1,no,no,augru_bez,Description,40,40,-
E2EDK01,,1,no,no,abrvw,Usage Indicator,3,3,-
E2EDK01,,1,no,no,abrvw_bez,Description,20,20,-
E2EDK01,,1,no,no,fktyp,Billing category,1,1,-
E2EDK01,,1,no,no,lifsk,Delivery block (document header),2,2,-
E2EDK01,,1,no,no,lifsk_bez,Description,20,20,-
E2EDK01,,1,no,no,empst,Receiving point,25,25,-
E2EDK01,,1,no,no,abtnr,Department number,4,4,-
E2EDK01,,1,no,no,delco,Agreed delivery time,3,3,-
E2EDK01,,1,no,no,wkurs_m,Indirectly quoted exchange rate in an IDoc segment,12,12,-
E2EDK14,,1,no,yes,landmark,landmark,7,7,-
E2EDK14,,1,no,no,segnam,Segment (external name),23,23,-
E2EDK14,,1,no,no,mandt,Client,3,3,-
E2EDK14,,1,no,no,docnum,IDoc number,16,16,-
E2EDK14,,1,no,no,segnum,Segment Number,6,6,-
E2EDK14,,1,no,no,psgnum,Number of superior parent segment,6,6,-
E2EDK14,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK14,,1,no,no,qualf,IDOC qualifer organization,3,3,-
E2EDK14,,1,no,no,orgid,IDOC organization,35,35,-
E2EDK03,,1,no,yes,landmark,landmark,7,7,-
E2EDK03,,1,no,no,segnam,Segment (external name),23,23,-
E2EDK03,,1,no,no,mandt,Client,3,3,-
E2EDK03,,1,no,no,docnum,IDoc number,16,16,-
E2EDK03,,1,no,no,segnum,Segment Number,6,6,-
E2EDK03,,1,no,no,psgnum,Number of superior parent segment,6,6,-
E2EDK03,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK03,,1,no,no,iddat,Qualifier for IDOC date segment,3,3,-
E2EDK03,,1,no,no,datum,IDOC: Date,8,8,-
E2EDK03,,1,no,no,uzeit,IDOC: Time,6,6,-
E2EDK04,,1,no,yes,landmark,landmark,7,7,-
E2EDK04,,1,no,no,segnam,Segment (external name),23,23,-
E2EDK04,,1,no,no,mandt,Client,3,3,-
E2EDK04,,1,no,no,docnum,IDoc number,16,16,-
E2EDK04,,1,no,no,segnum,Segment Number,6,6,-
E2EDK04,,1,no,no,psgnum,Number of superior parent segment,6,6,-
E2EDK04,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK04,,1,no,no,mwskz,VAT indicator,7,7,-
E2EDK04,,1,no,no,msatz,VAT rate,17,17,-
E2EDK04,,1,no,no,mwsbt,Value added tax amount,18,18,-
E2EDK04,,1,no,no,txjcd,Tax Jurisdiction,15,15,-
E2EDK04,,1,no,no,ktext,Text Field,50,50,-
E2EDK05,,1,no,yes,landmark,landmark,7,7,-
E2EDK05,,1,no,no,segnam,Segment (external name),23,23,-
E2EDK05,,1,no,no,mandt,Client,3,3,-
E2EDK05,,1,no,no,docnum,IDoc number,16,16,-
E2EDK05,,1,no,no,segnum,Segment Number,6,6,-
E2EDK05,,1,no,no,psgnum,Number of superior parent segment,6,6,-
E2EDK05,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK05,,1,no,no,alckz,Surcharge or discount indicator,3,3,-
E2EDK05,,1,no,no,kschl,Condition type (coded),4,4,-
E2EDK05,,1,no,no,kotxt,Condition text,80,80,-
E2EDK05,,1,no,no,betrg,Fixed surcharge/discount on total gross,18,18,-
E2EDK05,,1,no,no,kperc,Condition percentage rate,8,8,-
E2EDK05,,1,no,no,krate,Condition record per unit,15,15,-
E2EDK05,,1,no,no,uprbs,Price unit,9,9,-
E2EDK05,,1,no,no,meaun,Unit of measurement,3,3,-
E2EDK05,,1,no,no,kobtr,IDoc condition end amount,18,18,-
E2EDK05,,1,no,no,mwskz,VAT indicator,7,7,-
E2EDK05,,1,no,no,msatz,VAT rate,17,17,-
E2EDK05,,1,no,no,koein,Currency,3,3,-
E2EDKA1,,1,no,yes,landmark,landmark,7,7,-
E2EDKA1,,1,no,no,segnam,Segment (external name),23,23,-
E2EDKA1,,1,no,no,mandt,Client,3,3,-
E2EDKA1,,1,no,no,docnum,IDoc number,16,16,-
E2EDKA1,,1,no,no,segnum,Segment Number,6,6,-
E2EDKA1,,1,no,no,psgnum,Number of superior parent segment,6,6,-
E2EDKA1,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDKA1,,1,no,no,parvw,Partner function (e.g. sold-to party ship-to party ...),3,3,-
E2EDKA1,,1,no,no,partn,Partner number,17,17,-
E2EDKA1,,1,no,no,lifnr,Vendor number at customer location,17,17,-
E2EDKA1,,1,no,no,name1,Name 1,35,35,-
E2EDKA1,,1,no,no,name2,Name 2,35,35,-
E2EDKA1,,1,no,no,name3,Name 3,35,35,-
E2EDKA1,,1,no,no,name4,Name 4,35,35,-
E2EDKA1,,1,no,no,stras,Street and house number 1,35,35,-
E2EDKA1,,1,no,no,strs2,Street and house number 2,35,35,-
E2EDKA1,,1,no,no,pfach,PO Box,35,35,-
E2EDKA1,,1,no,no,ort01,City,35,35,-
E2EDKA1,,1,no,no,counc,County code,9,9,-
E2EDKA1,,1,no,no,pstlz,Postal code,9,9,-
E2EDKA1,,1,no,no,pstl2,P.O. Box postal code,9,9,-
E2EDKA1,,1,no,no,land1,Country Key,3,3,-
E2EDKA1,,1,no,no,ablad,Unloading Point,35,35,-
E2EDKA1,,1,no,no,pernr,Contact person's personnel number,30,30,-
E2EDKA1,,1,no,no,parnr,Contact person's number (not personnel number),30,30,-
E2EDKA1,,1,no,no,telf1,1st telephone number of contact person,25,25,-
E2EDKA1,,1,no,no,telf2,2nd telephone number of contact person,25,25,-
E2EDKA1,,1,no,no,telbx,Telebox number,25,25,-
E2EDKA1,,1,no,no,telfx,Fax number,25,25,-
E2EDKA1,,1,no,no,teltx,Teletex number,25,25,-
E2EDKA1,,1,no,no,telx1,Telex number,25,25,-
E2EDKA1,,1,no,no,spras,Language key,1,1,-
E2EDKA1,,1,no,no,anred,Form of Address,15,15,-
E2EDKA1,,1,no,no,ort02,District,35,35,-
E2EDKA1,,1,no,no,hausn,House number,6,6,-
E2EDKA1,,1,no,no,stock,Floor,6,6,-
E2EDKA1,,1,no,no,regio,Region,3,3,-
E2EDKA1,,1,no,no,parge,Partner's gender,1,1,-
E2EDKA1,,1,no,no,isoal,Country ISO code,2,2,-
E2EDKA1,,1,no,no,isonu,Country ISO code,2,2,-
E2EDKA1,,1,no,no,fcode,Company key (France),20,20,-
E2EDKA1,,1,no,no,ihrez,Your reference (Partner),30,30,-
E2EDKA1,,1,no,no,bname,IDoc user name,35,35,-
E2EDKA1,,1,no,no,paorg,IDOC organization code,30,30,-
E2EDKA1,,1,no,no,orgtx,IDoc organization code text,35,35,-
E2EDKA1,,1,no,no,pagru,IDoc group code,30,30,-
E2EDKA1,,1,no,no,knref,Customer description of partner (plant storage location),23,23,-
E2EDKA1,,1,no,no,ilnnr,Character field length 70,70,70,-
E2EDKA1,,1,no,no,pfort,PO Box city,35,35,-
E2EDKA1,,1,no,no,spras_iso,Language according to ISO 639,2,2,-
E2EDKA1,,1,no,no,title,Title,15,15,-
E2EDKA3,,1,no,yes,landmark,landmark,7,7,-
E2EDKA3,,1,no,no,segnam,Segment (external name),23,23,-
E2EDKA3,,1,no,no,mandt,Client,3,3,-
E2EDKA3,,1,no,no,docnum,IDoc number,16,16,-
E2EDKA3,,1,no,no,segnum,Segment Number,6,6,-
